      -17.1996D0   -1.3187D0   -0.2274D0    0.2062D0    0.1426D0
        0.0712D0   -0.0517D0   -0.0386D0   -0.0301D0    0.0217D0
       -0.0158D0    0.0129D0    0.0123D0    0.0063D0    0.0063D0
       -0.0059D0   -0.0058D0   -0.0051D0    0.0048D0    0.0046D0

       -0.01742D0  -0.00016D0  -0.00002D0   0.00002D0  -0.00034D0
        0.00001D0   0.00012D0  -0.00004D0   0.00000D0  -0.00005D0
        0.00000D0   0.00001D0   0.00000D0   0.00001D0   0.00000D0
        0.00000D0  -0.00001D0   0.00000D0   0.00000D0   0.00000D0

      9.2025D0    0.5736D0    0.0977D0   -0.0895D0    0.0054D0
     -0.0007D0    0.0224D0    0.0200D0    0.0129D0   -0.0095D0
     -0.0001D0    0.0070D0   -0.0053D0   -0.0033D0   -0.0002D0
      0.0026D0    0.0032D0    0.0027D0    0.0001D0   -0.0024D0

      0.00089D0  -0.00031D0  -0.00005D0   0.00005D0  -0.00001D0
      0.00000D0  -0.00006D0   0.00000D0  -0.00001D0   0.00003D0
      0.00000D0   0.00000D0   0.00000D0   0.00000D0   0.00003D0
      0.00000D0   0.00000D0   0.00000D0   0.00000D0   0.00003D0
