# Mean density at Ap = 10, F10.7 = 170
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3410E-05       5.430
   100.00      0.5400E-06       5.480
   110.00      0.8700E-07       6.880
   120.00      0.2030E-07       9.800
   130.00      0.7330E-08      13.870
   140.00      0.3560E-08      17.770
   150.00      0.2030E-08      21.440
   160.00      0.1270E-08      24.860
   170.00      0.8520E-09      28.020
   180.00      0.5960E-09      30.890
   190.00      0.4310E-09      33.500
   200.00      0.3200E-09      35.870
   210.00      0.2420E-09      38.040
   220.00      0.1860E-09      40.030
   230.00      0.1450E-09      41.870
   240.00      0.1140E-09      43.590
   250.00      0.9080E-10      45.200
   260.00      0.7280E-10      46.720
   270.00      0.5870E-10      48.160
   280.00      0.4770E-10      49.530
   290.00      0.3900E-10      50.830
   300.00      0.3200E-10      52.060
   310.00      0.2640E-10      53.270
   320.00      0.2190E-10      54.410
   330.00      0.1820E-10      55.500
   340.00      0.1520E-10      56.530
   350.00      0.1280E-10      57.520
   360.00      0.1070E-10      58.470
   370.00      0.9040E-11      59.370
   380.00      0.7640E-11      60.220
   390.00      0.6470E-11      61.040
   400.00      0.5490E-11      61.810
   410.00      0.4670E-11      62.550
   420.00      0.3980E-11      63.260
   430.00      0.3400E-11      63.930
   440.00      0.2910E-11      64.570
   450.00      0.2490E-11      65.180
   460.00      0.2140E-11      65.790
   470.00      0.1830E-11      66.360
   480.00      0.1580E-11      66.910
   490.00      0.1360E-11      67.450
   500.00      0.1170E-11      67.970
   510.00      0.1010E-11      68.490
   520.00      0.8740E-12      69.000
   530.00      0.7560E-12      69.500
   540.00      0.6550E-12      70.000
   550.00      0.5670E-12      70.510
   560.00      0.4920E-12      71.020
   570.00      0.4280E-12      71.530
   580.00      0.3720E-12      72.060
   590.00      0.3240E-12      72.600
   600.00      0.2820E-12      73.160
   610.00      0.2460E-12      73.740
   620.00      0.2150E-12      74.340
   630.00      0.1880E-12      74.970
   640.00      0.1640E-12      75.630
   650.00      0.1440E-12      76.330
   660.00      0.1260E-12      77.070
   670.00      0.1110E-12      77.850
   680.00      0.9760E-13      78.690
   690.00      0.8590E-13      79.580
   700.00      0.7580E-13      80.540
   710.00      0.6690E-13      81.560
   720.00      0.5920E-13      82.660
   730.00      0.5250E-13      83.840
   740.00      0.4660E-13      85.100
   750.00      0.4140E-13      86.470
   760.00      0.3690E-13      87.940
   770.00      0.3290E-13      89.520
   780.00      0.2940E-13      91.230
   790.00      0.2640E-13      93.070
   800.00      0.2370E-13      95.040
   810.00      0.2130E-13      97.170
   820.00      0.1920E-13      99.450
   830.00      0.1740E-13     101.900
   840.00      0.1580E-13     104.530
   850.00      0.1430E-13     107.350
   860.00      0.1310E-13     110.360
   870.00      0.1190E-13     113.570
   880.00      0.1090E-13     116.980
   890.00      0.1000E-13     120.610
   900.00      0.9230E-14     124.460
   910.00      0.8520E-14     128.530
   920.00      0.7880E-14     132.820
   930.00      0.7310E-14     137.320
   940.00      0.6800E-14     142.050
   950.00      0.6330E-14     146.980
   960.00      0.5920E-14     152.120
   970.00      0.5540E-14     157.450
   980.00      0.5200E-14     162.950
   990.00      0.4890E-14     168.630
  1000.00      0.4610E-14     174.450
  1010.00      0.4350E-14     180.400
  1020.00      0.4120E-14     186.470
  1030.00      0.3900E-14     192.610
  1040.00      0.3700E-14     198.830
  1050.00      0.3520E-14     205.080
  1060.00      0.3360E-14     211.350
  1070.00      0.3200E-14     217.620
  1080.00      0.3060E-14     223.860
  1090.00      0.2920E-14     230.040
  1100.00      0.2800E-14     236.160
  1110.00      0.2680E-14     242.180
  1120.00      0.2570E-14     248.090
  1130.00      0.2470E-14     253.880
  1140.00      0.2380E-14     259.540
  1150.00      0.2290E-14     265.040
  1160.00      0.2200E-14     270.390
  1170.00      0.2120E-14     275.570
  1180.00      0.2050E-14     280.580
  1190.00      0.1970E-14     285.420
  1200.00      0.1910E-14     290.090
  1210.00      0.1840E-14     294.580
  1220.00      0.1780E-14     298.900
  1230.00      0.1720E-14     303.040
  1240.00      0.1670E-14     307.030
  1250.00      0.1610E-14     310.840
  1260.00      0.1560E-14     314.510
  1270.00      0.1510E-14     318.020
  1280.00      0.1470E-14     321.380
  1290.00      0.1420E-14     324.610
  1300.00      0.1380E-14     327.710
  1310.00      0.1340E-14     330.690
  1320.00      0.1300E-14     333.540
  1330.00      0.1260E-14     336.290
  1340.00      0.1220E-14     338.930
  1350.00      0.1190E-14     341.480
  1360.00      0.1150E-14     343.940
  1370.00      0.1120E-14     346.310
  1380.00      0.1090E-14     348.610
  1390.00      0.1060E-14     350.820
  1400.00      0.1030E-14     352.980
  1410.00      0.9980E-15     355.070
  1420.00      0.9700E-15     357.100
  1430.00      0.9440E-15     359.090
  1440.00      0.9180E-15     361.010
  1450.00      0.8930E-15     362.900
  1460.00      0.8680E-15     364.760
  1470.00      0.8450E-15     366.560
  1480.00      0.8220E-15     368.340
  1490.00      0.8000E-15     370.090
  1500.00      0.7790E-15     371.800
