# Mean density at Ap = 15, F10.7 = 130
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3430E-05       5.380
   100.00      0.5360E-06       5.530
   110.00      0.8780E-07       6.740
   120.00      0.1990E-07       9.840
   130.00      0.7200E-08      13.730
   140.00      0.3480E-08      17.300
   150.00      0.1950E-08      20.620
   160.00      0.1200E-08      23.650
   170.00      0.7870E-09      26.410
   180.00      0.5390E-09      28.910
   190.00      0.3810E-09      31.170
   200.00      0.2770E-09      33.240
   210.00      0.2050E-09      35.140
   220.00      0.1540E-09      36.890
   230.00      0.1170E-09      38.530
   240.00      0.9060E-10      40.070
   250.00      0.7060E-10      41.530
   260.00      0.5550E-10      42.920
   270.00      0.4400E-10      44.250
   280.00      0.3510E-10      45.520
   290.00      0.2810E-10      46.730
   300.00      0.2270E-10      47.880
   310.00      0.1840E-10      49.010
   320.00      0.1500E-10      50.080
   330.00      0.1230E-10      51.090
   340.00      0.1010E-10      52.060
   350.00      0.8360E-11      52.980
   360.00      0.6920E-11      53.860
   370.00      0.5750E-11      54.690
   380.00      0.4790E-11      55.480
   390.00      0.4000E-11      56.230
   400.00      0.3350E-11      56.940
   410.00      0.2810E-11      57.620
   420.00      0.2360E-11      58.270
   430.00      0.1990E-11      58.880
   440.00      0.1680E-11      59.480
   450.00      0.1420E-11      60.050
   460.00      0.1200E-11      60.600
   470.00      0.1020E-11      61.140
   480.00      0.8640E-12      61.670
   490.00      0.7350E-12      62.200
   500.00      0.6260E-12      62.710
   510.00      0.5330E-12      63.230
   520.00      0.4550E-12      63.760
   530.00      0.3890E-12      64.290
   540.00      0.3330E-12      64.830
   550.00      0.2860E-12      65.390
   560.00      0.2450E-12      65.980
   570.00      0.2110E-12      66.580
   580.00      0.1810E-12      67.220
   590.00      0.1560E-12      67.900
   600.00      0.1350E-12      68.620
   610.00      0.1170E-12      69.380
   620.00      0.1010E-12      70.200
   630.00      0.8750E-13      71.080
   640.00      0.7600E-13      72.030
   650.00      0.6610E-13      73.060
   660.00      0.5770E-13      74.170
   670.00      0.5040E-13      75.370
   680.00      0.4410E-13      76.680
   690.00      0.3870E-13      78.100
   700.00      0.3410E-13      79.650
   710.00      0.3010E-13      81.330
   720.00      0.2660E-13      83.160
   730.00      0.2360E-13      85.140
   740.00      0.2100E-13      87.300
   750.00      0.1870E-13      89.630
   760.00      0.1670E-13      92.160
   770.00      0.1500E-13      94.890
   780.00      0.1350E-13      97.840
   790.00      0.1220E-13     101.020
   800.00      0.1100E-13     104.430
   810.00      0.1000E-13     108.080
   820.00      0.9150E-14     111.980
   830.00      0.8370E-14     116.120
   840.00      0.7680E-14     120.520
   850.00      0.7060E-14     125.170
   860.00      0.6520E-14     130.050
   870.00      0.6040E-14     135.170
   880.00      0.5610E-14     140.520
   890.00      0.5220E-14     146.070
   900.00      0.4880E-14     151.800
   910.00      0.4570E-14     157.700
   920.00      0.4290E-14     163.750
   930.00      0.4030E-14     169.910
   940.00      0.3800E-14     176.150
   950.00      0.3590E-14     182.450
   960.00      0.3400E-14     188.780
   970.00      0.3220E-14     195.100
   980.00      0.3060E-14     201.390
   990.00      0.2920E-14     207.620
  1000.00      0.2780E-14     213.760
  1010.00      0.2650E-14     219.790
  1020.00      0.2530E-14     225.690
  1030.00      0.2420E-14     231.440
  1040.00      0.2320E-14     237.020
  1050.00      0.2230E-14     242.430
  1060.00      0.2140E-14     247.650
  1070.00      0.2050E-14     252.680
  1080.00      0.1970E-14     257.520
  1090.00      0.1900E-14     262.160
  1100.00      0.1830E-14     266.600
  1110.00      0.1760E-14     270.850
  1120.00      0.1690E-14     274.910
  1130.00      0.1630E-14     278.800
  1140.00      0.1580E-14     282.500
  1150.00      0.1520E-14     286.040
  1160.00      0.1470E-14     289.420
  1170.00      0.1420E-14     292.650
  1180.00      0.1370E-14     295.740
  1190.00      0.1330E-14     298.700
  1200.00      0.1280E-14     301.530
  1210.00      0.1240E-14     304.250
  1220.00      0.1200E-14     306.860
  1230.00      0.1160E-14     309.370
  1240.00      0.1120E-14     311.800
  1250.00      0.1090E-14     314.130
  1260.00      0.1060E-14     316.410
  1270.00      0.1020E-14     318.610
  1280.00      0.9910E-15     320.740
  1290.00      0.9600E-15     322.820
  1300.00      0.9310E-15     324.850
  1310.00      0.9030E-15     326.840
  1320.00      0.8760E-15     328.780
  1330.00      0.8490E-15     330.690
  1340.00      0.8240E-15     332.570
  1350.00      0.8000E-15     334.420
  1360.00      0.7760E-15     336.250
  1370.00      0.7530E-15     338.060
  1380.00      0.7310E-15     339.850
  1390.00      0.7100E-15     341.620
  1400.00      0.6900E-15     343.400
  1410.00      0.6700E-15     345.150
  1420.00      0.6510E-15     346.900
  1430.00      0.6320E-15     348.650
  1440.00      0.6140E-15     350.380
  1450.00      0.5970E-15     352.130
  1460.00      0.5800E-15     353.880
  1470.00      0.5640E-15     355.620
  1480.00      0.5490E-15     357.370
  1490.00      0.5330E-15     359.130
  1500.00      0.5190E-15     360.900
