# Mean density at Ap = 15, F10.7 = 110
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3460E-05       5.390
   100.00      0.5400E-06       5.530
   110.00      0.8850E-07       6.650
   120.00      0.1970E-07       9.820
   130.00      0.7110E-08      13.620
   140.00      0.3410E-08      17.030
   150.00      0.1900E-08      20.150
   160.00      0.1160E-08      22.960
   170.00      0.7470E-09      25.490
   180.00      0.5050E-09      27.770
   190.00      0.3520E-09      29.830
   200.00      0.2520E-09      31.700
   210.00      0.1840E-09      33.430
   220.00      0.1360E-09      35.040
   230.00      0.1020E-09      36.550
   240.00      0.7790E-10      37.980
   250.00      0.5990E-10      39.340
   260.00      0.4640E-10      40.640
   270.00      0.3630E-10      41.890
   280.00      0.2860E-10      43.090
   290.00      0.2270E-10      44.240
   300.00      0.1810E-10      45.330
   310.00      0.1450E-10      46.390
   320.00      0.1170E-10      47.390
   330.00      0.9470E-11      48.340
   340.00      0.7700E-11      49.250
   350.00      0.6280E-11      50.110
   360.00      0.5150E-11      50.920
   370.00      0.4230E-11      51.690
   380.00      0.3490E-11      52.410
   390.00      0.2880E-11      53.100
   400.00      0.2390E-11      53.760
   410.00      0.1980E-11      54.380
   420.00      0.1650E-11      54.970
   430.00      0.1370E-11      55.550
   440.00      0.1150E-11      56.100
   450.00      0.9600E-12      56.630
   460.00      0.8050E-12      57.160
   470.00      0.6760E-12      57.680
   480.00      0.5680E-12      58.200
   490.00      0.4780E-12      58.720
   500.00      0.4040E-12      59.250
   510.00      0.3410E-12      59.800
   520.00      0.2880E-12      60.360
   530.00      0.2440E-12      60.940
   540.00      0.2070E-12      61.550
   550.00      0.1760E-12      62.200
   560.00      0.1500E-12      62.880
   570.00      0.1280E-12      63.620
   580.00      0.1090E-12      64.410
   590.00      0.9370E-13      65.270
   600.00      0.8040E-13      66.200
   610.00      0.6910E-13      67.210
   620.00      0.5950E-13      68.310
   630.00      0.5140E-13      69.520
   640.00      0.4450E-13      70.840
   650.00      0.3870E-13      72.280
   660.00      0.3370E-13      73.870
   670.00      0.2940E-13      75.600
   680.00      0.2580E-13      77.510
   690.00      0.2270E-13      79.590
   700.00      0.2000E-13      81.870
   710.00      0.1770E-13      84.360
   720.00      0.1570E-13      87.070
   730.00      0.1400E-13      90.010
   740.00      0.1250E-13      93.210
   750.00      0.1130E-13      96.660
   760.00      0.1010E-13     100.390
   770.00      0.9190E-14     104.380
   780.00      0.8350E-14     108.660
   790.00      0.7610E-14     113.210
   800.00      0.6970E-14     118.030
   810.00      0.6400E-14     123.120
   820.00      0.5900E-14     128.460
   830.00      0.5460E-14     134.040
   840.00      0.5070E-14     139.820
   850.00      0.4720E-14     145.800
   860.00      0.4410E-14     151.930
   870.00      0.4130E-14     158.190
   880.00      0.3870E-14     164.540
   890.00      0.3640E-14     170.940
   900.00      0.3440E-14     177.370
   910.00      0.3250E-14     183.770
   920.00      0.3080E-14     190.120
   930.00      0.2920E-14     196.390
   940.00      0.2770E-14     202.540
   950.00      0.2640E-14     208.560
   960.00      0.2520E-14     214.410
   970.00      0.2400E-14     220.080
   980.00      0.2300E-14     225.550
   990.00      0.2200E-14     230.820
  1000.00      0.2100E-14     235.880
  1010.00      0.2020E-14     240.720
  1020.00      0.1930E-14     245.350
  1030.00      0.1860E-14     249.760
  1040.00      0.1780E-14     253.960
  1050.00      0.1710E-14     257.970
  1060.00      0.1650E-14     261.780
  1070.00      0.1590E-14     265.410
  1080.00      0.1530E-14     268.860
  1090.00      0.1470E-14     272.160
  1100.00      0.1420E-14     275.290
  1110.00      0.1370E-14     278.290
  1120.00      0.1320E-14     281.160
  1130.00      0.1270E-14     283.910
  1140.00      0.1230E-14     286.550
  1150.00      0.1190E-14     289.090
  1160.00      0.1150E-14     291.550
  1170.00      0.1110E-14     293.920
  1180.00      0.1070E-14     296.210
  1190.00      0.1040E-14     298.450
  1200.00      0.1000E-14     300.630
  1210.00      0.9700E-15     302.750
  1220.00      0.9380E-15     304.830
  1230.00      0.9080E-15     306.870
  1240.00      0.8790E-15     308.890
  1250.00      0.8510E-15     310.860
  1260.00      0.8240E-15     312.830
  1270.00      0.7980E-15     314.770
  1280.00      0.7730E-15     316.690
  1290.00      0.7490E-15     318.610
  1300.00      0.7260E-15     320.510
  1310.00      0.7040E-15     322.410
  1320.00      0.6820E-15     324.310
  1330.00      0.6610E-15     326.210
  1340.00      0.6410E-15     328.110
  1350.00      0.6220E-15     330.020
  1360.00      0.6040E-15     331.940
  1370.00      0.5860E-15     333.860
  1380.00      0.5680E-15     335.800
  1390.00      0.5520E-15     337.740
  1400.00      0.5360E-15     339.710
  1410.00      0.5200E-15     341.680
  1420.00      0.5050E-15     343.680
  1430.00      0.4910E-15     345.700
  1440.00      0.4770E-15     347.720
  1450.00      0.4630E-15     349.780
  1460.00      0.4500E-15     351.860
  1470.00      0.4370E-15     353.950
  1480.00      0.4250E-15     356.080
  1490.00      0.4130E-15     358.230
  1500.00      0.4020E-15     360.400
