# Mean density at Ap = 05, F10.7 = 090
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3500E-05       5.430
   100.00      0.5560E-06       5.490
   110.00      0.8990E-07       6.540
   120.00      0.1950E-07       9.730
   130.00      0.6970E-08      13.430
   140.00      0.3310E-08      16.670
   150.00      0.1820E-08      19.560
   160.00      0.1090E-08      22.100
   170.00      0.6930E-09      24.360
   180.00      0.4600E-09      26.360
   190.00      0.3150E-09      28.160
   200.00      0.2210E-09      29.810
   210.00      0.1580E-09      31.330
   220.00      0.1150E-09      32.760
   230.00      0.8440E-10      34.120
   240.00      0.6300E-10      35.410
   250.00      0.4750E-10      36.650
   260.00      0.3620E-10      37.850
   270.00      0.2780E-10      38.990
   280.00      0.2150E-10      40.080
   290.00      0.1670E-10      41.130
   300.00      0.1310E-10      42.120
   310.00      0.1040E-10      43.070
   320.00      0.8210E-11      43.960
   330.00      0.6540E-11      44.800
   340.00      0.5230E-11      45.590
   350.00      0.4200E-11      46.330
   360.00      0.3380E-11      47.030
   370.00      0.2740E-11      47.680
   380.00      0.2220E-11      48.300
   390.00      0.1800E-11      48.880
   400.00      0.1470E-11      49.440
   410.00      0.1200E-11      49.970
   420.00      0.9830E-12      50.490
   430.00      0.8060E-12      50.990
   440.00      0.6630E-12      51.490
   450.00      0.5460E-12      51.990
   460.00      0.4500E-12      52.500
   470.00      0.3720E-12      53.020
   480.00      0.3080E-12      53.560
   490.00      0.2560E-12      54.130
   500.00      0.2130E-12      54.730
   510.00      0.1770E-12      55.380
   520.00      0.1480E-12      56.070
   530.00      0.1240E-12      56.830
   540.00      0.1040E-12      57.650
   550.00      0.8720E-13      58.560
   560.00      0.7350E-13      59.560
   570.00      0.6210E-13      60.670
   580.00      0.5270E-13      61.900
   590.00      0.4480E-13      63.270
   600.00      0.3830E-13      64.800
   610.00      0.3280E-13      66.490
   620.00      0.2820E-13      68.380
   630.00      0.2440E-13      70.470
   640.00      0.2120E-13      72.800
   650.00      0.1840E-13      75.370
   660.00      0.1620E-13      78.200
   670.00      0.1420E-13      81.330
   680.00      0.1260E-13      84.750
   690.00      0.1120E-13      88.480
   700.00      0.9980E-14      92.540
   710.00      0.8950E-14      96.930
   720.00      0.8080E-14     101.650
   730.00      0.7320E-14     106.690
   740.00      0.6670E-14     112.030
   750.00      0.6100E-14     117.670
   760.00      0.5600E-14     123.570
   770.00      0.5160E-14     129.700
   780.00      0.4780E-14     136.030
   790.00      0.4440E-14     142.500
   800.00      0.4140E-14     149.070
   810.00      0.3870E-14     155.690
   820.00      0.3630E-14     162.320
   830.00      0.3410E-14     168.900
   840.00      0.3220E-14     175.390
   850.00      0.3040E-14     181.750
   860.00      0.2880E-14     187.940
   870.00      0.2730E-14     193.930
   880.00      0.2590E-14     199.710
   890.00      0.2460E-14     205.250
   900.00      0.2350E-14     210.540
   910.00      0.2240E-14     215.580
   920.00      0.2140E-14     220.370
   930.00      0.2040E-14     224.910
   940.00      0.1950E-14     229.210
   950.00      0.1870E-14     233.280
   960.00      0.1790E-14     237.120
   970.00      0.1720E-14     240.770
   980.00      0.1650E-14     244.220
   990.00      0.1580E-14     247.500
  1000.00      0.1520E-14     250.620
  1010.00      0.1460E-14     253.590
  1020.00      0.1400E-14     256.430
  1030.00      0.1350E-14     259.150
  1040.00      0.1300E-14     261.770
  1050.00      0.1250E-14     264.300
  1060.00      0.1200E-14     266.740
  1070.00      0.1160E-14     269.120
  1080.00      0.1120E-14     271.440
  1090.00      0.1080E-14     273.700
  1100.00      0.1040E-14     275.930
  1110.00      0.1000E-14     278.120
  1120.00      0.9650E-15     280.280
  1130.00      0.9320E-15     282.420
  1140.00      0.8990E-15     284.550
  1150.00      0.8680E-15     286.660
  1160.00      0.8380E-15     288.770
  1170.00      0.8100E-15     290.880
  1180.00      0.7820E-15     292.990
  1190.00      0.7560E-15     295.120
  1200.00      0.7310E-15     297.250
  1210.00      0.7070E-15     299.390
  1220.00      0.6840E-15     301.550
  1230.00      0.6610E-15     303.730
  1240.00      0.6400E-15     305.930
  1250.00      0.6190E-15     308.150
  1260.00      0.6000E-15     310.400
  1270.00      0.5810E-15     312.690
  1280.00      0.5620E-15     314.990
  1290.00      0.5450E-15     317.330
  1300.00      0.5280E-15     319.700
  1310.00      0.5120E-15     322.100
  1320.00      0.4960E-15     324.550
  1330.00      0.4810E-15     327.020
  1340.00      0.4660E-15     329.540
  1350.00      0.4520E-15     332.090
  1360.00      0.4390E-15     334.690
  1370.00      0.4260E-15     337.330
  1380.00      0.4140E-15     340.010
  1390.00      0.4020E-15     342.720
  1400.00      0.3900E-15     345.500
  1410.00      0.3790E-15     348.310
  1420.00      0.3680E-15     351.170
  1430.00      0.3580E-15     354.090
  1440.00      0.3480E-15     357.030
  1450.00      0.3380E-15     360.040
  1460.00      0.3290E-15     363.100
  1470.00      0.3200E-15     366.200
  1480.00      0.3110E-15     369.360
  1490.00      0.3030E-15     372.570
  1500.00      0.2950E-15     375.830
