# Mean density at Ap = 05, F10.7 = 150
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3430E-05       5.430
   100.00      0.5440E-06       5.480
   110.00      0.8770E-07       6.790
   120.00      0.2010E-07       9.780
   130.00      0.7240E-08      13.750
   140.00      0.3500E-08      17.500
   150.00      0.1980E-08      21.000
   160.00      0.1230E-08      24.220
   170.00      0.8120E-09      27.190
   180.00      0.5620E-09      29.870
   190.00      0.4020E-09      32.310
   200.00      0.2950E-09      34.530
   210.00      0.2210E-09      36.560
   220.00      0.1680E-09      38.430
   230.00      0.1300E-09      40.170
   240.00      0.1010E-09      41.790
   250.00      0.7950E-10      43.330
   260.00      0.6310E-10      44.780
   270.00      0.5050E-10      46.150
   280.00      0.4060E-10      47.470
   290.00      0.3290E-10      48.720
   300.00      0.2680E-10      49.910
   310.00      0.2190E-10      51.060
   320.00      0.1800E-10      52.160
   330.00      0.1490E-10      53.200
   340.00      0.1230E-10      54.190
   350.00      0.1030E-10      55.130
   360.00      0.8560E-11      56.030
   370.00      0.7160E-11      56.880
   380.00      0.6010E-11      57.690
   390.00      0.5050E-11      58.460
   400.00      0.4260E-11      59.180
   410.00      0.3590E-11      59.880
   420.00      0.3040E-11      60.540
   430.00      0.2580E-11      61.170
   440.00      0.2190E-11      61.770
   450.00      0.1860E-11      62.350
   460.00      0.1590E-11      62.910
   470.00      0.1350E-11      63.460
   480.00      0.1160E-11      63.980
   490.00      0.9890E-12      64.500
   500.00      0.8470E-12      65.010
   510.00      0.7260E-12      65.510
   520.00      0.6230E-12      66.010
   530.00      0.5360E-12      66.520
   540.00      0.4610E-12      67.030
   550.00      0.3970E-12      67.550
   560.00      0.3420E-12      68.080
   570.00      0.2960E-12      68.630
   580.00      0.2560E-12      69.200
   590.00      0.2210E-12      69.800
   600.00      0.1920E-12      70.420
   610.00      0.1660E-12      71.080
   620.00      0.1440E-12      71.770
   630.00      0.1260E-12      72.510
   640.00      0.1090E-12      73.300
   650.00      0.9550E-13      74.150
   660.00      0.8350E-13      75.060
   670.00      0.7300E-13      76.030
   680.00      0.6400E-13      77.090
   690.00      0.5630E-13      78.220
   700.00      0.4950E-13      79.450
   710.00      0.4360E-13      80.780
   720.00      0.3860E-13      82.220
   730.00      0.3410E-13      83.780
   740.00      0.3030E-13      85.470
   750.00      0.2700E-13      87.300
   760.00      0.2400E-13      89.280
   770.00      0.2150E-13      91.420
   780.00      0.1930E-13      93.730
   790.00      0.1730E-13      96.230
   800.00      0.1560E-13      98.920
   810.00      0.1410E-13     101.810
   820.00      0.1280E-13     104.910
   830.00      0.1160E-13     108.230
   840.00      0.1060E-13     111.780
   850.00      0.9690E-14     115.560
   860.00      0.8890E-14     119.580
   870.00      0.8180E-14     123.830
   880.00      0.7540E-14     128.320
   890.00      0.6980E-14     133.050
   900.00      0.6470E-14     138.010
   910.00      0.6020E-14     143.180
   920.00      0.5610E-14     148.560
   930.00      0.5250E-14     154.130
   940.00      0.4920E-14     159.870
   950.00      0.4620E-14     165.780
   960.00      0.4350E-14     171.810
   970.00      0.4100E-14     177.950
   980.00      0.3880E-14     184.170
   990.00      0.3670E-14     190.450
  1000.00      0.3490E-14     196.760
  1010.00      0.3310E-14     203.060
  1020.00      0.3150E-14     209.350
  1030.00      0.3010E-14     215.570
  1040.00      0.2870E-14     221.730
  1050.00      0.2740E-14     227.780
  1060.00      0.2630E-14     233.720
  1070.00      0.2520E-14     239.520
  1080.00      0.2410E-14     245.160
  1090.00      0.2320E-14     250.650
  1100.00      0.2230E-14     255.960
  1110.00      0.2140E-14     261.090
  1120.00      0.2060E-14     266.040
  1130.00      0.1980E-14     270.800
  1140.00      0.1910E-14     275.370
  1150.00      0.1840E-14     279.750
  1160.00      0.1780E-14     283.950
  1170.00      0.1720E-14     287.970
  1180.00      0.1660E-14     291.810
  1190.00      0.1600E-14     295.480
  1200.00      0.1550E-14     299.000
  1210.00      0.1500E-14     302.350
  1220.00      0.1450E-14     305.570
  1230.00      0.1400E-14     308.640
  1240.00      0.1360E-14     311.590
  1250.00      0.1320E-14     314.400
  1260.00      0.1270E-14     317.110
  1270.00      0.1240E-14     319.710
  1280.00      0.1200E-14     322.210
  1290.00      0.1160E-14     324.620
  1300.00      0.1130E-14     326.950
  1310.00      0.1090E-14     329.190
  1320.00      0.1060E-14     331.370
  1330.00      0.1030E-14     333.480
  1340.00      0.9970E-15     335.530
  1350.00      0.9680E-15     337.530
  1360.00      0.9390E-15     339.470
  1370.00      0.9120E-15     341.380
  1380.00      0.8860E-15     343.240
  1390.00      0.8600E-15     345.050
  1400.00      0.8360E-15     346.860
  1410.00      0.8120E-15     348.620
  1420.00      0.7890E-15     350.350
  1430.00      0.7670E-15     352.080
  1440.00      0.7450E-15     353.760
  1450.00      0.7250E-15     355.440
  1460.00      0.7050E-15     357.110
  1470.00      0.6850E-15     358.760
  1480.00      0.6660E-15     360.400
  1490.00      0.6480E-15     362.040
  1500.00      0.6300E-15     363.660
