# Mean density at Ap = 10, F10.7 = 230
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3350E-05       5.420
   100.00      0.5290E-06       5.460
   110.00      0.8470E-07       7.160
   120.00      0.2100E-07       9.880
   130.00      0.7620E-08      14.210
   140.00      0.3770E-08      18.550
   150.00      0.2200E-08      22.730
   160.00      0.1420E-08      26.670
   170.00      0.9740E-09      30.340
   180.00      0.7000E-09      33.680
   190.00      0.5200E-09      36.700
   200.00      0.3960E-09      39.430
   210.00      0.3070E-09      41.900
   220.00      0.2420E-09      44.160
   230.00      0.1930E-09      46.230
   240.00      0.1560E-09      48.150
   250.00      0.1260E-09      49.930
   260.00      0.1030E-09      51.600
   270.00      0.8520E-10      53.160
   280.00      0.7060E-10      54.650
   290.00      0.5880E-10      56.050
   300.00      0.4920E-10      57.360
   310.00      0.4130E-10      58.680
   320.00      0.3480E-10      59.900
   330.00      0.2950E-10      61.080
   340.00      0.2500E-10      62.200
   350.00      0.2130E-10      63.280
   360.00      0.1820E-10      64.310
   370.00      0.1560E-10      65.300
   380.00      0.1340E-10      66.250
   390.00      0.1150E-10      67.160
   400.00      0.9900E-11      68.030
   410.00      0.8550E-11      68.860
   420.00      0.7400E-11      69.670
   430.00      0.6410E-11      70.430
   440.00      0.5560E-11      71.170
   450.00      0.4830E-11      71.870
   460.00      0.4200E-11      72.560
   470.00      0.3660E-11      73.210
   480.00      0.3190E-11      73.840
   490.00      0.2790E-11      74.450
   500.00      0.2440E-11      75.040
   510.00      0.2130E-11      75.610
   520.00      0.1870E-11      76.160
   530.00      0.1640E-11      76.710
   540.00      0.1440E-11      77.240
   550.00      0.1260E-11      77.750
   560.00      0.1110E-11      78.270
   570.00      0.9790E-12      78.770
   580.00      0.8620E-12      79.280
   590.00      0.7600E-12      79.780
   600.00      0.6700E-12      80.280
   610.00      0.5920E-12      80.780
   620.00      0.5230E-12      81.290
   630.00      0.4620E-12      81.800
   640.00      0.4090E-12      82.330
   650.00      0.3620E-12      82.860
   660.00      0.3210E-12      83.400
   670.00      0.2850E-12      83.970
   680.00      0.2530E-12      84.550
   690.00      0.2250E-12      85.150
   700.00      0.2000E-12      85.770
   710.00      0.1780E-12      86.420
   720.00      0.1580E-12      87.090
   730.00      0.1410E-12      87.800
   740.00      0.1260E-12      88.550
   750.00      0.1130E-12      89.330
   760.00      0.1010E-12      90.160
   770.00      0.9010E-13      91.030
   780.00      0.8070E-13      91.950
   790.00      0.7240E-13      92.920
   800.00      0.6500E-13      93.960
   810.00      0.5840E-13      95.060
   820.00      0.5260E-13      96.220
   830.00      0.4740E-13      97.470
   840.00      0.4280E-13      98.790
   850.00      0.3870E-13     100.190
   860.00      0.3500E-13     101.690
   870.00      0.3170E-13     103.280
   880.00      0.2880E-13     104.980
   890.00      0.2620E-13     106.790
   900.00      0.2380E-13     108.710
   910.00      0.2170E-13     110.760
   920.00      0.1990E-13     112.940
   930.00      0.1820E-13     115.260
   940.00      0.1670E-13     117.710
   950.00      0.1530E-13     120.320
   960.00      0.1410E-13     123.090
   970.00      0.1300E-13     126.010
   980.00      0.1200E-13     129.110
   990.00      0.1110E-13     132.380
  1000.00      0.1030E-13     135.820
  1010.00      0.9570E-14     139.450
  1020.00      0.8900E-14     143.260
  1030.00      0.8300E-14     147.250
  1040.00      0.7760E-14     151.440
  1050.00      0.7260E-14     155.800
  1060.00      0.6810E-14     160.360
  1070.00      0.6400E-14     165.090
  1080.00      0.6020E-14     170.000
  1090.00      0.5680E-14     175.090
  1100.00      0.5360E-14     180.330
  1110.00      0.5070E-14     185.740
  1120.00      0.4810E-14     191.290
  1130.00      0.4560E-14     196.970
  1140.00      0.4340E-14     202.780
  1150.00      0.4130E-14     208.690
  1160.00      0.3940E-14     214.690
  1170.00      0.3760E-14     220.780
  1180.00      0.3590E-14     226.920
  1190.00      0.3440E-14     233.110
  1200.00      0.3290E-14     239.330
  1210.00      0.3160E-14     245.550
  1220.00      0.3030E-14     251.780
  1230.00      0.2910E-14     257.970
  1240.00      0.2800E-14     264.140
  1250.00      0.2700E-14     270.240
  1260.00      0.2600E-14     276.280
  1270.00      0.2510E-14     282.240
  1280.00      0.2420E-14     288.100
  1290.00      0.2340E-14     293.860
  1300.00      0.2260E-14     299.510
  1310.00      0.2180E-14     305.040
  1320.00      0.2110E-14     310.430
  1330.00      0.2050E-14     315.700
  1340.00      0.1980E-14     320.820
  1350.00      0.1920E-14     325.800
  1360.00      0.1860E-14     330.640
  1370.00      0.1810E-14     335.330
  1380.00      0.1760E-14     339.880
  1390.00      0.1710E-14     344.270
  1400.00      0.1660E-14     348.540
  1410.00      0.1610E-14     352.650
  1420.00      0.1560E-14     356.630
  1430.00      0.1520E-14     360.470
  1440.00      0.1480E-14     364.170
  1450.00      0.1440E-14     367.750
  1460.00      0.1400E-14     371.220
  1470.00      0.1360E-14     374.540
  1480.00      0.1330E-14     377.770
  1490.00      0.1290E-14     380.890
  1500.00      0.1260E-14     383.890
