# Mean density at Ap = 15, F10.7 = 150
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3410E-05       5.380
   100.00      0.5320E-06       5.530
   110.00      0.8710E-07       6.830
   120.00      0.2010E-07       9.860
   130.00      0.7290E-08      13.830
   140.00      0.3540E-08      17.570
   150.00      0.2000E-08      21.070
   160.00      0.1250E-08      24.300
   170.00      0.8260E-09      27.270
   180.00      0.5720E-09      29.970
   190.00      0.4100E-09      32.430
   200.00      0.3010E-09      34.660
   210.00      0.2260E-09      36.710
   220.00      0.1720E-09      38.600
   230.00      0.1330E-09      40.360
   240.00      0.1040E-09      42.000
   250.00      0.8160E-10      43.550
   260.00      0.6490E-10      45.020
   270.00      0.5190E-10      46.410
   280.00      0.4190E-10      47.740
   290.00      0.3400E-10      49.020
   300.00      0.2770E-10      50.220
   310.00      0.2270E-10      51.410
   320.00      0.1870E-10      52.530
   330.00      0.1540E-10      53.600
   340.00      0.1280E-10      54.620
   350.00      0.1070E-10      55.590
   360.00      0.8910E-11      56.520
   370.00      0.7470E-11      57.410
   380.00      0.6280E-11      58.250
   390.00      0.5290E-11      59.060
   400.00      0.4460E-11      59.820
   410.00      0.3780E-11      60.550
   420.00      0.3200E-11      61.240
   430.00      0.2720E-11      61.910
   440.00      0.2310E-11      62.540
   450.00      0.1970E-11      63.150
   460.00      0.1680E-11      63.740
   470.00      0.1440E-11      64.310
   480.00      0.1230E-11      64.870
   490.00      0.1060E-11      65.410
   500.00      0.9060E-12      65.930
   510.00      0.7780E-12      66.460
   520.00      0.6690E-12      66.980
   530.00      0.5770E-12      67.490
   540.00      0.4970E-12      68.010
   550.00      0.4290E-12      68.540
   560.00      0.3710E-12      69.080
   570.00      0.3210E-12      69.620
   580.00      0.2780E-12      70.190
   590.00      0.2410E-12      70.780
   600.00      0.2090E-12      71.390
   610.00      0.1820E-12      72.020
   620.00      0.1580E-12      72.700
   630.00      0.1380E-12      73.410
   640.00      0.1200E-12      74.160
   650.00      0.1050E-12      74.960
   660.00      0.9210E-13      75.820
   670.00      0.8070E-13      76.730
   680.00      0.7090E-13      77.710
   690.00      0.6230E-13      78.770
   700.00      0.5490E-13      79.900
   710.00      0.4840E-13      81.130
   720.00      0.4280E-13      82.450
   730.00      0.3790E-13      83.870
   740.00      0.3370E-13      85.410
   750.00      0.2990E-13      87.080
   760.00      0.2670E-13      88.880
   770.00      0.2380E-13      90.820
   780.00      0.2140E-13      92.910
   790.00      0.1920E-13      95.170
   800.00      0.1730E-13      97.600
   810.00      0.1560E-13     100.210
   820.00      0.1410E-13     103.010
   830.00      0.1280E-13     106.020
   840.00      0.1160E-13     109.240
   850.00      0.1060E-13     112.670
   860.00      0.9730E-14     116.330
   870.00      0.8930E-14     120.210
   880.00      0.8210E-14     124.320
   890.00      0.7580E-14     128.660
   900.00      0.7010E-14     133.220
   910.00      0.6500E-14     138.010
   920.00      0.6050E-14     143.020
   930.00      0.5640E-14     148.240
   940.00      0.5270E-14     153.650
   950.00      0.4940E-14     159.240
   960.00      0.4640E-14     164.990
   970.00      0.4370E-14     170.890
   980.00      0.4120E-14     176.910
   990.00      0.3890E-14     183.030
  1000.00      0.3690E-14     189.220
  1010.00      0.3500E-14     195.460
  1020.00      0.3320E-14     201.730
  1030.00      0.3160E-14     208.000
  1040.00      0.3010E-14     214.240
  1050.00      0.2880E-14     220.430
  1060.00      0.2750E-14     226.550
  1070.00      0.2630E-14     232.570
  1080.00      0.2520E-14     238.480
  1090.00      0.2420E-14     244.270
  1100.00      0.2320E-14     249.910
  1110.00      0.2230E-14     255.390
  1120.00      0.2140E-14     260.710
  1130.00      0.2060E-14     265.860
  1140.00      0.1990E-14     270.830
  1150.00      0.1910E-14     275.620
  1160.00      0.1840E-14     280.230
  1170.00      0.1780E-14     284.670
  1180.00      0.1720E-14     288.920
  1190.00      0.1660E-14     293.000
  1200.00      0.1600E-14     296.910
  1210.00      0.1550E-14     300.650
  1220.00      0.1500E-14     304.240
  1230.00      0.1450E-14     307.670
  1240.00      0.1410E-14     310.970
  1250.00      0.1360E-14     314.120
  1260.00      0.1320E-14     317.150
  1270.00      0.1280E-14     320.050
  1280.00      0.1240E-14     322.840
  1290.00      0.1200E-14     325.520
  1300.00      0.1160E-14     328.100
  1310.00      0.1130E-14     330.590
  1320.00      0.1100E-14     332.990
  1330.00      0.1060E-14     335.320
  1340.00      0.1030E-14     337.570
  1350.00      0.1000E-14     339.750
  1360.00      0.9730E-15     341.870
  1370.00      0.9450E-15     343.940
  1380.00      0.9180E-15     345.950
  1390.00      0.8920E-15     347.900
  1400.00      0.8660E-15     349.840
  1410.00      0.8420E-15     351.710
  1420.00      0.8180E-15     353.560
  1430.00      0.7960E-15     355.390
  1440.00      0.7730E-15     357.160
  1450.00      0.7520E-15     358.930
  1460.00      0.7310E-15     360.680
  1470.00      0.7110E-15     362.390
  1480.00      0.6920E-15     364.100
  1490.00      0.6730E-15     365.800
  1500.00      0.6550E-15     367.470
