# Mean density at Ap = 15, F10.7 = 070
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3510E-05       5.390
   100.00      0.5480E-06       5.540
   110.00      0.9000E-07       6.490
   120.00      0.1930E-07       9.810
   130.00      0.6950E-08      13.420
   140.00      0.3300E-08      16.470
   150.00      0.1800E-08      19.120
   160.00      0.1070E-08      21.410
   170.00      0.6680E-09      23.390
   180.00      0.4360E-09      25.140
   190.00      0.2930E-09      26.700
   200.00      0.2010E-09      28.140
   210.00      0.1410E-09      29.490
   220.00      0.1000E-09      30.770
   230.00      0.7260E-10      32.000
   240.00      0.5310E-10      33.190
   250.00      0.3930E-10      34.340
   260.00      0.2940E-10      35.460
   270.00      0.2210E-10      36.530
   280.00      0.1680E-10      37.570
   290.00      0.1290E-10      38.560
   300.00      0.9960E-11      39.500
   310.00      0.7730E-11      40.390
   320.00      0.6040E-11      41.240
   330.00      0.4740E-11      42.030
   340.00      0.3730E-11      42.770
   350.00      0.2960E-11      43.460
   360.00      0.2350E-11      44.120
   370.00      0.1870E-11      44.730
   380.00      0.1500E-11      45.320
   390.00      0.1200E-11      45.880
   400.00      0.9650E-12      46.420
   410.00      0.7780E-12      46.940
   420.00      0.6290E-12      47.460
   430.00      0.5090E-12      47.980
   440.00      0.4140E-12      48.510
   450.00      0.3370E-12      49.050
   460.00      0.2740E-12      49.630
   470.00      0.2240E-12      50.230
   480.00      0.1840E-12      50.870
   490.00      0.1510E-12      51.570
   500.00      0.1240E-12      52.340
   510.00      0.1030E-12      53.180
   520.00      0.8520E-13      54.110
   530.00      0.7080E-13      55.140
   540.00      0.5910E-13      56.300
   550.00      0.4940E-13      57.600
   560.00      0.4160E-13      59.060
   570.00      0.3510E-13      60.690
   580.00      0.2980E-13      62.530
   590.00      0.2540E-13      64.590
   600.00      0.2170E-13      66.890
   610.00      0.1870E-13      69.470
   620.00      0.1620E-13      72.350
   630.00      0.1410E-13      75.530
   640.00      0.1240E-13      79.060
   650.00      0.1090E-13      82.930
   660.00      0.9650E-14      87.170
   670.00      0.8610E-14      91.770
   680.00      0.7720E-14      96.730
   690.00      0.6960E-14     102.060
   700.00      0.6310E-14     107.710
   710.00      0.5750E-14     113.680
   720.00      0.5270E-14     119.910
   730.00      0.4850E-14     126.370
   740.00      0.4480E-14     133.000
   750.00      0.4150E-14     139.760
   760.00      0.3870E-14     146.570
   770.00      0.3610E-14     153.380
   780.00      0.3380E-14     160.130
   790.00      0.3180E-14     166.780
   800.00      0.2990E-14     173.280
   810.00      0.2830E-14     179.580
   820.00      0.2670E-14     185.660
   830.00      0.2530E-14     191.490
   840.00      0.2400E-14     197.050
   850.00      0.2280E-14     202.350
   860.00      0.2170E-14     207.380
   870.00      0.2070E-14     212.140
   880.00      0.1980E-14     216.650
   890.00      0.1890E-14     220.910
   900.00      0.1800E-14     224.940
   910.00      0.1730E-14     228.760
   920.00      0.1650E-14     232.390
   930.00      0.1580E-14     235.840
   940.00      0.1520E-14     239.130
   950.00      0.1450E-14     242.280
   960.00      0.1400E-14     245.300
   970.00      0.1340E-14     248.220
   980.00      0.1290E-14     251.030
   990.00      0.1240E-14     253.780
  1000.00      0.1190E-14     256.450
  1010.00      0.1140E-14     259.070
  1020.00      0.1100E-14     261.650
  1030.00      0.1060E-14     264.190
  1040.00      0.1020E-14     266.700
  1050.00      0.9820E-15     269.200
  1060.00      0.9460E-15     271.680
  1070.00      0.9120E-15     274.170
  1080.00      0.8790E-15     276.650
  1090.00      0.8480E-15     279.150
  1100.00      0.8180E-15     281.650
  1110.00      0.7900E-15     284.170
  1120.00      0.7620E-15     286.720
  1130.00      0.7360E-15     289.290
  1140.00      0.7110E-15     291.890
  1150.00      0.6870E-15     294.510
  1160.00      0.6640E-15     297.180
  1170.00      0.6420E-15     299.880
  1180.00      0.6210E-15     302.620
  1190.00      0.6010E-15     305.410
  1200.00      0.5820E-15     308.240
  1210.00      0.5630E-15     311.110
  1220.00      0.5450E-15     314.030
  1230.00      0.5280E-15     317.000
  1240.00      0.5120E-15     320.020
  1250.00      0.4960E-15     323.090
  1260.00      0.4810E-15     326.220
  1270.00      0.4660E-15     329.410
  1280.00      0.4520E-15     332.640
  1290.00      0.4390E-15     335.940
  1300.00      0.4260E-15     339.290
  1310.00      0.4140E-15     342.700
  1320.00      0.4020E-15     346.180
  1330.00      0.3900E-15     349.710
  1340.00      0.3790E-15     353.310
  1350.00      0.3690E-15     356.970
  1360.00      0.3590E-15     360.700
  1370.00      0.3490E-15     364.490
  1380.00      0.3390E-15     368.340
  1390.00      0.3300E-15     372.250
  1400.00      0.3220E-15     376.250
  1410.00      0.3130E-15     380.300
  1420.00      0.3050E-15     384.420
  1430.00      0.2970E-15     388.620
  1440.00      0.2900E-15     392.860
  1450.00      0.2820E-15     397.190
  1460.00      0.2750E-15     401.590
  1470.00      0.2690E-15     406.040
  1480.00      0.2620E-15     410.570
  1490.00      0.2560E-15     415.180
  1500.00      0.2500E-15     419.850
