# Mean density at Ap = 10, F10.7 = 130
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3460E-05       5.430
   100.00      0.5480E-06       5.480
   110.00      0.8840E-07       6.710
   120.00      0.1990E-07       9.760
   130.00      0.7140E-08      13.640
   140.00      0.3430E-08      17.230
   150.00      0.1920E-08      20.540
   160.00      0.1180E-08      23.560
   170.00      0.7720E-09      26.310
   180.00      0.5280E-09      28.790
   190.00      0.3730E-09      31.040
   200.00      0.2700E-09      33.090
   210.00      0.2000E-09      34.960
   220.00      0.1500E-09      36.700
   230.00      0.1140E-09      38.320
   240.00      0.8810E-10      39.850
   250.00      0.6850E-10      41.290
   260.00      0.5380E-10      42.660
   270.00      0.4250E-10      43.970
   280.00      0.3390E-10      45.220
   290.00      0.2720E-10      46.410
   300.00      0.2190E-10      47.540
   310.00      0.1770E-10      48.640
   320.00      0.1440E-10      49.670
   330.00      0.1180E-10      50.660
   340.00      0.9700E-11      51.590
   350.00      0.7990E-11      52.480
   360.00      0.6600E-11      53.320
   370.00      0.5470E-11      54.120
   380.00      0.4550E-11      54.870
   390.00      0.3790E-11      55.580
   400.00      0.3170E-11      56.260
   410.00      0.2650E-11      56.900
   420.00      0.2220E-11      57.510
   430.00      0.1870E-11      58.100
   440.00      0.1570E-11      58.660
   450.00      0.1330E-11      59.200
   460.00      0.1120E-11      59.730
   470.00      0.9480E-12      60.240
   480.00      0.8030E-12      60.750
   490.00      0.6810E-12      61.250
   500.00      0.5790E-12      61.760
   510.00      0.4920E-12      62.260
   520.00      0.4190E-12      62.780
   530.00      0.3570E-12      63.300
   540.00      0.3050E-12      63.850
   550.00      0.2610E-12      64.410
   560.00      0.2230E-12      65.000
   570.00      0.1920E-12      65.630
   580.00      0.1640E-12      66.290
   590.00      0.1410E-12      66.990
   600.00      0.1220E-12      67.740
   610.00      0.1050E-12      68.550
   620.00      0.9080E-13      69.420
   630.00      0.7870E-13      70.360
   640.00      0.6820E-13      71.380
   650.00      0.5930E-13      72.490
   660.00      0.5170E-13      73.700
   670.00      0.4510E-13      75.020
   680.00      0.3950E-13      76.450
   690.00      0.3460E-13      78.010
   700.00      0.3050E-13      79.720
   710.00      0.2690E-13      81.580
   720.00      0.2380E-13      83.600
   730.00      0.2110E-13      85.810
   740.00      0.1880E-13      88.200
   750.00      0.1680E-13      90.810
   760.00      0.1500E-13      93.620
   770.00      0.1350E-13      96.670
   780.00      0.1220E-13      99.950
   790.00      0.1100E-13     103.480
   800.00      0.1000E-13     107.260
   810.00      0.9110E-14     111.290
   820.00      0.8320E-14     115.590
   830.00      0.7630E-14     120.150
   840.00      0.7020E-14     124.960
   850.00      0.6480E-14     130.020
   860.00      0.6000E-14     135.320
   870.00      0.5580E-14     140.830
   880.00      0.5190E-14     146.550
   890.00      0.4850E-14     152.450
   900.00      0.4540E-14     158.500
   910.00      0.4270E-14     164.680
   920.00      0.4010E-14     170.950
   930.00      0.3790E-14     177.280
   940.00      0.3580E-14     183.650
   950.00      0.3390E-14     190.020
   960.00      0.3220E-14     196.350
   970.00      0.3060E-14     202.630
   980.00      0.2910E-14     208.810
   990.00      0.2770E-14     214.880
  1000.00      0.2650E-14     220.800
  1010.00      0.2530E-14     226.570
  1020.00      0.2420E-14     232.170
  1030.00      0.2320E-14     237.580
  1040.00      0.2220E-14     242.790
  1050.00      0.2130E-14     247.810
  1060.00      0.2050E-14     252.620
  1070.00      0.1970E-14     257.220
  1080.00      0.1890E-14     261.620
  1090.00      0.1820E-14     265.820
  1100.00      0.1760E-14     269.820
  1110.00      0.1690E-14     273.640
  1120.00      0.1630E-14     277.270
  1130.00      0.1570E-14     280.750
  1140.00      0.1520E-14     284.050
  1150.00      0.1470E-14     287.200
  1160.00      0.1420E-14     290.210
  1170.00      0.1370E-14     293.090
  1180.00      0.1320E-14     295.840
  1190.00      0.1280E-14     298.480
  1200.00      0.1240E-14     301.010
  1210.00      0.1200E-14     303.440
  1220.00      0.1160E-14     305.790
  1230.00      0.1120E-14     308.060
  1240.00      0.1080E-14     310.260
  1250.00      0.1050E-14     312.380
  1260.00      0.1020E-14     314.450
  1270.00      0.9840E-15     316.470
  1280.00      0.9540E-15     318.440
  1290.00      0.9240E-15     320.370
  1300.00      0.8960E-15     322.260
  1310.00      0.8680E-15     324.110
  1320.00      0.8420E-15     325.940
  1330.00      0.8170E-15     327.750
  1340.00      0.7920E-15     329.530
  1350.00      0.7680E-15     331.290
  1360.00      0.7460E-15     333.050
  1370.00      0.7240E-15     334.790
  1380.00      0.7020E-15     336.520
  1390.00      0.6820E-15     338.230
  1400.00      0.6620E-15     339.960
  1410.00      0.6430E-15     341.680
  1420.00      0.6240E-15     343.400
  1430.00      0.6060E-15     345.130
  1440.00      0.5890E-15     346.840
  1450.00      0.5720E-15     348.570
  1460.00      0.5560E-15     350.310
  1470.00      0.5400E-15     352.050
  1480.00      0.5250E-15     353.800
  1490.00      0.5110E-15     355.570
  1500.00      0.4960E-15     357.340
