# Mean density at Ap = 05, F10.7 = 110
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3480E-05       5.430
   100.00      0.5520E-06       5.480
   110.00      0.8910E-07       6.620
   120.00      0.1970E-07       9.750
   130.00      0.7050E-08      13.540
   140.00      0.3370E-08      16.950
   150.00      0.1870E-08      20.060
   160.00      0.1130E-08      22.860
   170.00      0.7330E-09      25.380
   180.00      0.4940E-09      27.630
   190.00      0.3440E-09      29.670
   200.00      0.2460E-09      31.520
   210.00      0.1790E-09      33.230
   220.00      0.1320E-09      34.820
   230.00      0.9930E-10      36.320
   240.00      0.7540E-10      37.730
   250.00      0.5790E-10      39.080
   260.00      0.4480E-10      40.360
   270.00      0.3500E-10      41.590
   280.00      0.2750E-10      42.760
   290.00      0.2180E-10      43.890
   300.00      0.1730E-10      44.950
   310.00      0.1390E-10      45.980
   320.00      0.1120E-10      46.950
   330.00      0.9020E-11      47.870
   340.00      0.7320E-11      48.740
   350.00      0.5960E-11      49.560
   360.00      0.4870E-11      50.330
   370.00      0.3990E-11      51.060
   380.00      0.3280E-11      51.750
   390.00      0.2710E-11      52.400
   400.00      0.2240E-11      53.010
   410.00      0.1850E-11      53.600
   420.00      0.1540E-11      54.160
   430.00      0.1280E-11      54.700
   440.00      0.1060E-11      55.220
   450.00      0.8880E-12      55.730
   460.00      0.7420E-12      56.240
   470.00      0.6210E-12      56.740
   480.00      0.5210E-12      57.250
   490.00      0.4370E-12      57.760
   500.00      0.3680E-12      58.280
   510.00      0.3100E-12      58.820
   520.00      0.2610E-12      59.380
   530.00      0.2210E-12      59.980
   540.00      0.1870E-12      60.610
   550.00      0.1590E-12      61.280
   560.00      0.1350E-12      62.000
   570.00      0.1150E-12      62.770
   580.00      0.9770E-13      63.620
   590.00      0.8350E-13      64.540
   600.00      0.7150E-13      65.540
   610.00      0.6140E-13      66.640
   620.00      0.5280E-13      67.850
   630.00      0.4560E-13      69.170
   640.00      0.3950E-13      70.630
   650.00      0.3420E-13      72.230
   660.00      0.2980E-13      74.000
   670.00      0.2610E-13      75.940
   680.00      0.2280E-13      78.070
   690.00      0.2010E-13      80.400
   700.00      0.1770E-13      82.960
   710.00      0.1570E-13      85.750
   720.00      0.1400E-13      88.800
   730.00      0.1250E-13      92.110
   740.00      0.1120E-13      95.690
   750.00      0.1010E-13      99.550
   760.00      0.9140E-14     103.700
   770.00      0.8300E-14     108.140
   780.00      0.7570E-14     112.870
   790.00      0.6920E-14     117.870
   800.00      0.6360E-14     123.150
   810.00      0.5870E-14     128.670
   820.00      0.5430E-14     134.430
   830.00      0.5040E-14     140.400
   840.00      0.4690E-14     146.530
   850.00      0.4380E-14     152.810
   860.00      0.4100E-14     159.190
   870.00      0.3850E-14     165.640
   880.00      0.3630E-14     172.110
   890.00      0.3420E-14     178.560
   900.00      0.3240E-14     184.970
   910.00      0.3070E-14     191.290
   920.00      0.2910E-14     197.490
   930.00      0.2770E-14     203.540
   940.00      0.2630E-14     209.420
   950.00      0.2510E-14     215.110
   960.00      0.2400E-14     220.600
   970.00      0.2290E-14     225.870
   980.00      0.2190E-14     230.910
   990.00      0.2100E-14     235.730
  1000.00      0.2010E-14     240.320
  1010.00      0.1930E-14     244.690
  1020.00      0.1850E-14     248.840
  1030.00      0.1780E-14     252.790
  1040.00      0.1710E-14     256.530
  1050.00      0.1650E-14     260.090
  1060.00      0.1580E-14     263.470
  1070.00      0.1520E-14     266.690
  1080.00      0.1470E-14     269.750
  1090.00      0.1410E-14     272.670
  1100.00      0.1360E-14     275.460
  1110.00      0.1320E-14     278.130
  1120.00      0.1270E-14     280.690
  1130.00      0.1220E-14     283.160
  1140.00      0.1180E-14     285.540
  1150.00      0.1140E-14     287.840
  1160.00      0.1100E-14     290.070
  1170.00      0.1060E-14     292.240
  1180.00      0.1030E-14     294.350
  1190.00      0.9950E-15     296.420
  1200.00      0.9620E-15     298.450
  1210.00      0.9300E-15     300.430
  1220.00      0.8990E-15     302.390
  1230.00      0.8700E-15     304.330
  1240.00      0.8420E-15     306.250
  1250.00      0.8150E-15     308.150
  1260.00      0.7890E-15     310.040
  1270.00      0.7640E-15     311.920
  1280.00      0.7400E-15     313.790
  1290.00      0.7170E-15     315.670
  1300.00      0.6940E-15     317.550
  1310.00      0.6730E-15     319.420
  1320.00      0.6520E-15     321.310
  1330.00      0.6320E-15     323.200
  1340.00      0.6130E-15     325.100
  1350.00      0.5940E-15     327.020
  1360.00      0.5760E-15     328.950
  1370.00      0.5590E-15     330.890
  1380.00      0.5420E-15     332.860
  1390.00      0.5260E-15     334.820
  1400.00      0.5110E-15     336.830
  1410.00      0.4960E-15     338.850
  1420.00      0.4820E-15     340.890
  1430.00      0.4680E-15     342.960
  1440.00      0.4540E-15     345.040
  1450.00      0.4410E-15     347.160
  1460.00      0.4290E-15     349.300
  1470.00      0.4170E-15     351.460
  1480.00      0.4050E-15     353.660
  1490.00      0.3940E-15     355.890
  1500.00      0.3830E-15     358.140
