# Mean density at Ap = 15, F10.7 = 210
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3350E-05       5.370
   100.00      0.5210E-06       5.510
   110.00      0.8480E-07       7.100
   120.00      0.2080E-07       9.930
   130.00      0.7580E-08      14.160
   140.00      0.3740E-08      18.350
   150.00      0.2170E-08      22.360
   160.00      0.1390E-08      26.130
   170.00      0.9460E-09      29.650
   180.00      0.6750E-09      32.860
   190.00      0.4980E-09      35.770
   200.00      0.3760E-09      38.410
   210.00      0.2900E-09      40.820
   220.00      0.2270E-09      43.020
   230.00      0.1800E-09      45.050
   240.00      0.1440E-09      46.930
   250.00      0.1170E-09      48.680
   260.00      0.9490E-10      50.330
   270.00      0.7780E-10      51.880
   280.00      0.6410E-10      53.350
   290.00      0.5320E-10      54.750
   300.00      0.4430E-10      56.060
   310.00      0.3710E-10      57.370
   320.00      0.3110E-10      58.600
   330.00      0.2630E-10      59.770
   340.00      0.2220E-10      60.900
   350.00      0.1880E-10      61.980
   360.00      0.1600E-10      63.020
   370.00      0.1370E-10      64.010
   380.00      0.1170E-10      64.970
   390.00      0.1000E-10      65.880
   400.00      0.8620E-11      66.760
   410.00      0.7420E-11      67.600
   420.00      0.6400E-11      68.410
   430.00      0.5530E-11      69.180
   440.00      0.4790E-11      69.930
   450.00      0.4150E-11      70.630
   460.00      0.3600E-11      71.330
   470.00      0.3130E-11      71.980
   480.00      0.2720E-11      72.620
   490.00      0.2370E-11      73.230
   500.00      0.2070E-11      73.830
   510.00      0.1810E-11      74.410
   520.00      0.1580E-11      74.970
   530.00      0.1380E-11      75.520
   540.00      0.1210E-11      76.050
   550.00      0.1060E-11      76.580
   560.00      0.9330E-12      77.110
   570.00      0.8190E-12      77.620
   580.00      0.7200E-12      78.140
   590.00      0.6340E-12      78.650
   600.00      0.5580E-12      79.170
   610.00      0.4920E-12      79.690
   620.00      0.4340E-12      80.220
   630.00      0.3830E-12      80.750
   640.00      0.3380E-12      81.300
   650.00      0.2990E-12      81.860
   660.00      0.2650E-12      82.440
   670.00      0.2350E-12      83.030
   680.00      0.2080E-12      83.650
   690.00      0.1840E-12      84.290
   700.00      0.1640E-12      84.950
   710.00      0.1460E-12      85.650
   720.00      0.1300E-12      86.380
   730.00      0.1150E-12      87.150
   740.00      0.1030E-12      87.960
   750.00      0.9190E-13      88.820
   760.00      0.8210E-13      89.720
   770.00      0.7340E-13      90.680
   780.00      0.6580E-13      91.700
   790.00      0.5900E-13      92.780
   800.00      0.5290E-13      93.920
   810.00      0.4760E-13      95.140
   820.00      0.4280E-13      96.440
   830.00      0.3860E-13      97.830
   840.00      0.3490E-13      99.310
   850.00      0.3150E-13     100.880
   860.00      0.2860E-13     102.560
   870.00      0.2590E-13     104.350
   880.00      0.2350E-13     106.250
   890.00      0.2140E-13     108.290
   900.00      0.1950E-13     110.450
   910.00      0.1780E-13     112.750
   920.00      0.1630E-13     115.200
   930.00      0.1500E-13     117.800
   940.00      0.1370E-13     120.550
   950.00      0.1270E-13     123.480
   960.00      0.1170E-13     126.570
   970.00      0.1080E-13     129.840
   980.00      0.9980E-14     133.290
   990.00      0.9260E-14     136.930
  1000.00      0.8610E-14     140.750
  1010.00      0.8020E-14     144.760
  1020.00      0.7480E-14     148.960
  1030.00      0.7000E-14     153.350
  1040.00      0.6560E-14     157.920
  1050.00      0.6150E-14     162.680
  1060.00      0.5790E-14     167.620
  1070.00      0.5450E-14     172.730
  1080.00      0.5150E-14     178.010
  1090.00      0.4860E-14     183.440
  1100.00      0.4610E-14     189.010
  1110.00      0.4370E-14     194.720
  1120.00      0.4150E-14     200.550
  1130.00      0.3950E-14     206.480
  1140.00      0.3760E-14     212.490
  1150.00      0.3590E-14     218.580
  1160.00      0.3430E-14     224.730
  1170.00      0.3280E-14     230.910
  1180.00      0.3140E-14     237.110
  1190.00      0.3010E-14     243.310
  1200.00      0.2890E-14     249.500
  1210.00      0.2780E-14     255.660
  1220.00      0.2670E-14     261.770
  1230.00      0.2570E-14     267.810
  1240.00      0.2480E-14     273.780
  1250.00      0.2390E-14     279.660
  1260.00      0.2300E-14     285.440
  1270.00      0.2220E-14     291.100
  1280.00      0.2150E-14     296.640
  1290.00      0.2080E-14     302.060
  1300.00      0.2010E-14     307.350
  1310.00      0.1950E-14     312.480
  1320.00      0.1880E-14     317.480
  1330.00      0.1830E-14     322.330
  1340.00      0.1770E-14     327.040
  1350.00      0.1720E-14     331.590
  1360.00      0.1670E-14     336.000
  1370.00      0.1620E-14     340.260
  1380.00      0.1570E-14     344.390
  1390.00      0.1520E-14     348.350
  1400.00      0.1480E-14     352.200
  1410.00      0.1440E-14     355.900
  1420.00      0.1400E-14     359.480
  1430.00      0.1360E-14     362.940
  1440.00      0.1320E-14     366.250
  1450.00      0.1290E-14     369.470
  1460.00      0.1250E-14     372.580
  1470.00      0.1220E-14     375.570
  1480.00      0.1190E-14     378.460
  1490.00      0.1160E-14     381.270
  1500.00      0.1130E-14     383.970
