# Mean density at Ap = 05, F10.7 = 070
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3530E-05       5.440
   100.00      0.5610E-06       5.490
   110.00      0.9060E-07       6.460
   120.00      0.1930E-07       9.730
   130.00      0.6890E-08      13.330
   140.00      0.3250E-08      16.370
   150.00      0.1770E-08      19.000
   160.00      0.1040E-08      21.260
   170.00      0.6520E-09      23.220
   180.00      0.4240E-09      24.930
   190.00      0.2840E-09      26.470
   200.00      0.1950E-09      27.890
   210.00      0.1360E-09      29.210
   220.00      0.9650E-10      30.480
   230.00      0.6950E-10      31.690
   240.00      0.5070E-10      32.860
   250.00      0.3740E-10      34.000
   260.00      0.2790E-10      35.090
   270.00      0.2100E-10      36.150
   280.00      0.1590E-10      37.150
   290.00      0.1210E-10      38.110
   300.00      0.9340E-11      39.020
   310.00      0.7230E-11      39.870
   320.00      0.5630E-11      40.670
   330.00      0.4400E-11      41.420
   340.00      0.3460E-11      42.120
   350.00      0.2730E-11      42.770
   360.00      0.2160E-11      43.380
   370.00      0.1710E-11      43.950
   380.00      0.1360E-11      44.500
   390.00      0.1090E-11      45.020
   400.00      0.8730E-12      45.530
   410.00      0.7010E-12      46.030
   420.00      0.5640E-12      46.530
   430.00      0.4550E-12      47.030
   440.00      0.3680E-12      47.550
   450.00      0.2980E-12      48.090
   460.00      0.2420E-12      48.680
   470.00      0.1970E-12      49.300
   480.00      0.1610E-12      49.970
   490.00      0.1320E-12      50.720
   500.00      0.1080E-12      51.540
   510.00      0.8910E-13      52.450
   520.00      0.7360E-13      53.480
   530.00      0.6110E-13      54.630
   540.00      0.5080E-13      55.930
   550.00      0.4250E-13      57.400
   560.00      0.3570E-13      59.060
   570.00      0.3020E-13      60.930
   580.00      0.2560E-13      63.040
   590.00      0.2180E-13      65.410
   600.00      0.1870E-13      68.070
   610.00      0.1620E-13      71.050
   620.00      0.1410E-13      74.370
   630.00      0.1230E-13      78.040
   640.00      0.1080E-13      82.090
   650.00      0.9570E-14      86.530
   660.00      0.8530E-14      91.350
   670.00      0.7640E-14      96.540
   680.00      0.6890E-14     102.100
   690.00      0.6250E-14     108.000
   700.00      0.5700E-14     114.200
   710.00      0.5220E-14     120.660
   720.00      0.4800E-14     127.310
   730.00      0.4440E-14     134.110
   740.00      0.4120E-14     140.980
   750.00      0.3840E-14     147.860
   760.00      0.3590E-14     154.690
   770.00      0.3360E-14     161.410
   780.00      0.3160E-14     167.970
   790.00      0.2980E-14     174.330
   800.00      0.2810E-14     180.450
   810.00      0.2660E-14     186.310
   820.00      0.2520E-14     191.890
   830.00      0.2390E-14     197.180
   840.00      0.2280E-14     202.180
   850.00      0.2170E-14     206.900
   860.00      0.2060E-14     211.360
   870.00      0.1970E-14     215.560
   880.00      0.1880E-14     219.520
   890.00      0.1800E-14     223.260
   900.00      0.1720E-14     226.810
   910.00      0.1640E-14     230.170
   920.00      0.1570E-14     233.380
   930.00      0.1510E-14     236.440
   940.00      0.1440E-14     239.380
   950.00      0.1390E-14     242.220
   960.00      0.1330E-14     244.970
   970.00      0.1280E-14     247.640
   980.00      0.1230E-14     250.250
   990.00      0.1180E-14     252.810
  1000.00      0.1130E-14     255.330
  1010.00      0.1090E-14     257.820
  1020.00      0.1050E-14     260.300
  1030.00      0.1010E-14     262.760
  1040.00      0.9700E-15     265.210
  1050.00      0.9340E-15     267.670
  1060.00      0.9000E-15     270.140
  1070.00      0.8670E-15     272.610
  1080.00      0.8360E-15     275.110
  1090.00      0.8060E-15     277.630
  1100.00      0.7770E-15     280.180
  1110.00      0.7500E-15     282.760
  1120.00      0.7240E-15     285.360
  1130.00      0.6990E-15     288.020
  1140.00      0.6750E-15     290.700
  1150.00      0.6520E-15     293.430
  1160.00      0.6310E-15     296.200
  1170.00      0.6100E-15     299.020
  1180.00      0.5900E-15     301.890
  1190.00      0.5700E-15     304.810
  1200.00      0.5520E-15     307.780
  1210.00      0.5340E-15     310.800
  1220.00      0.5170E-15     313.880
  1230.00      0.5010E-15     317.010
  1240.00      0.4860E-15     320.210
  1250.00      0.4710E-15     323.450
  1260.00      0.4560E-15     326.770
  1270.00      0.4430E-15     330.150
  1280.00      0.4290E-15     333.580
  1290.00      0.4170E-15     337.080
  1300.00      0.4050E-15     340.650
  1310.00      0.3930E-15     344.270
  1320.00      0.3820E-15     347.970
  1330.00      0.3710E-15     351.730
  1340.00      0.3600E-15     355.560
  1350.00      0.3500E-15     359.460
  1360.00      0.3410E-15     363.430
  1370.00      0.3320E-15     367.460
  1380.00      0.3230E-15     371.570
  1390.00      0.3140E-15     375.740
  1400.00      0.3060E-15     380.000
  1410.00      0.2980E-15     384.310
  1420.00      0.2900E-15     388.700
  1430.00      0.2830E-15     393.170
  1440.00      0.2760E-15     397.690
  1450.00      0.2690E-15     402.300
  1460.00      0.2620E-15     406.990
  1470.00      0.2560E-15     411.720
  1480.00      0.2500E-15     416.550
  1490.00      0.2440E-15     421.450
  1500.00      0.2380E-15     426.400
