# Mean density at Ap = 15, F10.7 = 190
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3370E-05       5.380
   100.00      0.5240E-06       5.520
   110.00      0.8560E-07       7.010
   120.00      0.2050E-07       9.900
   130.00      0.7480E-08      14.050
   140.00      0.3670E-08      18.090
   150.00      0.2110E-08      21.940
   160.00      0.1340E-08      25.540
   170.00      0.9050E-09      28.890
   180.00      0.6400E-09      31.940
   190.00      0.4680E-09      34.710
   200.00      0.3510E-09      37.240
   210.00      0.2680E-09      39.540
   220.00      0.2080E-09      41.650
   230.00      0.1640E-09      43.600
   240.00      0.1300E-09      45.420
   250.00      0.1050E-09      47.110
   260.00      0.8460E-10      48.710
   270.00      0.6890E-10      50.220
   280.00      0.5640E-10      51.650
   290.00      0.4650E-10      53.020
   300.00      0.3850E-10      54.300
   310.00      0.3200E-10      55.580
   320.00      0.2680E-10      56.780
   330.00      0.2240E-10      57.930
   340.00      0.1890E-10      59.030
   350.00      0.1590E-10      60.080
   360.00      0.1350E-10      61.090
   370.00      0.1150E-10      62.060
   380.00      0.9750E-11      62.980
   390.00      0.8320E-11      63.870
   400.00      0.7120E-11      64.720
   410.00      0.6100E-11      65.530
   420.00      0.5230E-11      66.310
   430.00      0.4500E-11      67.050
   440.00      0.3880E-11      67.760
   450.00      0.3350E-11      68.440
   460.00      0.2890E-11      69.100
   470.00      0.2500E-11      69.730
   480.00      0.2170E-11      70.340
   490.00      0.1880E-11      70.930
   500.00      0.1630E-11      71.500
   510.00      0.1420E-11      72.060
   520.00      0.1240E-11      72.600
   530.00      0.1080E-11      73.140
   540.00      0.9390E-12      73.660
   550.00      0.8200E-12      74.180
   560.00      0.7170E-12      74.700
   570.00      0.6270E-12      75.210
   580.00      0.5490E-12      75.730
   590.00      0.4810E-12      76.250
   600.00      0.4220E-12      76.780
   610.00      0.3700E-12      77.320
   620.00      0.3250E-12      77.870
   630.00      0.2860E-12      78.430
   640.00      0.2520E-12      79.020
   650.00      0.2220E-12      79.620
   660.00      0.1960E-12      80.240
   670.00      0.1730E-12      80.900
   680.00      0.1530E-12      81.580
   690.00      0.1350E-12      82.300
   700.00      0.1200E-12      83.050
   710.00      0.1060E-12      83.850
   720.00      0.9410E-13      84.700
   730.00      0.8370E-13      85.590
   740.00      0.7440E-13      86.540
   750.00      0.6630E-13      87.560
   760.00      0.5920E-13      88.640
   770.00      0.5280E-13      89.790
   780.00      0.4730E-13      91.020
   790.00      0.4240E-13      92.330
   800.00      0.3800E-13      93.740
   810.00      0.3420E-13      95.240
   820.00      0.3080E-13      96.850
   830.00      0.2770E-13      98.570
   840.00      0.2510E-13     100.410
   850.00      0.2270E-13     102.380
   860.00      0.2060E-13     104.480
   870.00      0.1870E-13     106.730
   880.00      0.1700E-13     109.130
   890.00      0.1550E-13     111.680
   900.00      0.1420E-13     114.400
   910.00      0.1300E-13     117.300
   920.00      0.1200E-13     120.370
   930.00      0.1100E-13     123.630
   940.00      0.1010E-13     127.080
   950.00      0.9380E-14     130.720
   960.00      0.8690E-14     134.560
   970.00      0.8060E-14     138.600
   980.00      0.7500E-14     142.840
   990.00      0.6990E-14     147.280
  1000.00      0.6540E-14     151.920
  1010.00      0.6120E-14     156.750
  1020.00      0.5740E-14     161.760
  1030.00      0.5400E-14     166.960
  1040.00      0.5080E-14     172.320
  1050.00      0.4800E-14     177.840
  1060.00      0.4530E-14     183.510
  1070.00      0.4290E-14     189.300
  1080.00      0.4070E-14     195.220
  1090.00      0.3870E-14     201.230
  1100.00      0.3680E-14     207.320
  1110.00      0.3510E-14     213.470
  1120.00      0.3350E-14     219.650
  1130.00      0.3200E-14     225.870
  1140.00      0.3060E-14     232.080
  1150.00      0.2930E-14     238.280
  1160.00      0.2810E-14     244.440
  1170.00      0.2700E-14     250.550
  1180.00      0.2590E-14     256.590
  1190.00      0.2490E-14     262.540
  1200.00      0.2400E-14     268.400
  1210.00      0.2310E-14     274.140
  1220.00      0.2230E-14     279.760
  1230.00      0.2150E-14     285.240
  1240.00      0.2080E-14     290.590
  1250.00      0.2010E-14     295.780
  1260.00      0.1940E-14     300.840
  1270.00      0.1880E-14     305.730
  1280.00      0.1820E-14     310.470
  1290.00      0.1760E-14     315.050
  1300.00      0.1700E-14     319.470
  1310.00      0.1650E-14     323.740
  1320.00      0.1600E-14     327.860
  1330.00      0.1550E-14     331.830
  1340.00      0.1510E-14     335.650
  1350.00      0.1460E-14     339.330
  1360.00      0.1420E-14     342.870
  1370.00      0.1380E-14     346.280
  1380.00      0.1340E-14     349.570
  1390.00      0.1300E-14     352.730
  1400.00      0.1270E-14     355.780
  1410.00      0.1230E-14     358.720
  1420.00      0.1200E-14     361.560
  1430.00      0.1160E-14     364.300
  1440.00      0.1130E-14     366.930
  1450.00      0.1100E-14     369.500
  1460.00      0.1070E-14     371.980
  1470.00      0.1040E-14     374.370
  1480.00      0.1020E-14     376.690
  1490.00      0.9900E-15     378.960
  1500.00      0.9650E-15     381.140
