# Mean density at Ap = 05, F10.7 = 210
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3370E-05       5.420
   100.00      0.5330E-06       5.470
   110.00      0.8550E-07       7.070
   120.00      0.2080E-07       9.850
   130.00      0.7520E-08      14.090
   140.00      0.3700E-08      18.290
   150.00      0.2140E-08      22.310
   160.00      0.1370E-08      26.080
   170.00      0.9330E-09      29.590
   180.00      0.6650E-09      32.790
   190.00      0.4900E-09      35.690
   200.00      0.3710E-09      38.310
   210.00      0.2850E-09      40.700
   220.00      0.2230E-09      42.890
   230.00      0.1770E-09      44.900
   240.00      0.1410E-09      46.760
   250.00      0.1140E-09      48.490
   260.00      0.9300E-10      50.120
   270.00      0.7610E-10      51.660
   280.00      0.6270E-10      53.110
   290.00      0.5200E-10      54.490
   300.00      0.4330E-10      55.790
   310.00      0.3620E-10      57.080
   320.00      0.3040E-10      58.280
   330.00      0.2560E-10      59.430
   340.00      0.2160E-10      60.540
   350.00      0.1830E-10      61.590
   360.00      0.1560E-10      62.600
   370.00      0.1330E-10      63.570
   380.00      0.1130E-10      64.490
   390.00      0.9710E-11      65.380
   400.00      0.8330E-11      66.230
   410.00      0.7170E-11      67.040
   420.00      0.6170E-11      67.810
   430.00      0.5330E-11      68.550
   440.00      0.4600E-11      69.260
   450.00      0.3980E-11      69.940
   460.00      0.3450E-11      70.600
   470.00      0.3000E-11      71.230
   480.00      0.2610E-11      71.840
   490.00      0.2270E-11      72.420
   500.00      0.1970E-11      72.990
   510.00      0.1720E-11      73.540
   520.00      0.1500E-11      74.080
   530.00      0.1310E-11      74.610
   540.00      0.1150E-11      75.130
   550.00      0.1010E-11      75.640
   560.00      0.8810E-12      76.140
   570.00      0.7720E-12      76.640
   580.00      0.6780E-12      77.150
   590.00      0.5950E-12      77.650
   600.00      0.5230E-12      78.160
   610.00      0.4610E-12      78.670
   620.00      0.4060E-12      79.190
   630.00      0.3570E-12      79.730
   640.00      0.3150E-12      80.270
   650.00      0.2780E-12      80.840
   660.00      0.2460E-12      81.420
   670.00      0.2180E-12      82.020
   680.00      0.1930E-12      82.650
   690.00      0.1710E-12      83.310
   700.00      0.1510E-12      83.990
   710.00      0.1340E-12      84.720
   720.00      0.1190E-12      85.480
   730.00      0.1060E-12      86.280
   740.00      0.9460E-13      87.130
   750.00      0.8430E-13      88.030
   760.00      0.7530E-13      88.990
   770.00      0.6730E-13      90.000
   780.00      0.6020E-13      91.090
   790.00      0.5390E-13      92.240
   800.00      0.4840E-13      93.470
   810.00      0.4350E-13      94.780
   820.00      0.3910E-13      96.180
   830.00      0.3530E-13      97.680
   840.00      0.3180E-13      99.270
   850.00      0.2880E-13     100.980
   860.00      0.2610E-13     102.800
   870.00      0.2370E-13     104.750
   880.00      0.2150E-13     106.830
   890.00      0.1960E-13     109.040
   900.00      0.1790E-13     111.400
   910.00      0.1630E-13     113.910
   920.00      0.1500E-13     116.590
   930.00      0.1370E-13     119.430
   940.00      0.1260E-13     122.440
   950.00      0.1160E-13     125.630
   960.00      0.1070E-13     129.010
   970.00      0.9950E-14     132.570
   980.00      0.9220E-14     136.320
   990.00      0.8570E-14     140.280
  1000.00      0.7980E-14     144.420
  1010.00      0.7450E-14     148.760
  1020.00      0.6960E-14     153.290
  1030.00      0.6520E-14     158.020
  1040.00      0.6120E-14     162.930
  1050.00      0.5760E-14     168.020
  1060.00      0.5430E-14     173.280
  1070.00      0.5120E-14     178.710
  1080.00      0.4840E-14     184.290
  1090.00      0.4590E-14     190.000
  1100.00      0.4350E-14     195.840
  1110.00      0.4140E-14     201.790
  1120.00      0.3940E-14     207.830
  1130.00      0.3750E-14     213.950
  1140.00      0.3580E-14     220.130
  1150.00      0.3420E-14     226.340
  1160.00      0.3270E-14     232.570
  1170.00      0.3130E-14     238.810
  1180.00      0.3010E-14     245.020
  1190.00      0.2890E-14     251.210
  1200.00      0.2770E-14     257.340
  1210.00      0.2670E-14     263.400
  1220.00      0.2570E-14     269.390
  1230.00      0.2470E-14     275.270
  1240.00      0.2390E-14     281.050
  1250.00      0.2300E-14     286.710
  1260.00      0.2220E-14     292.240
  1270.00      0.2150E-14     297.640
  1280.00      0.2080E-14     302.890
  1290.00      0.2010E-14     308.000
  1300.00      0.1950E-14     312.960
  1310.00      0.1890E-14     317.760
  1320.00      0.1830E-14     322.410
  1330.00      0.1770E-14     326.900
  1340.00      0.1720E-14     331.250
  1350.00      0.1670E-14     335.440
  1360.00      0.1620E-14     339.490
  1370.00      0.1570E-14     343.390
  1380.00      0.1530E-14     347.150
  1390.00      0.1480E-14     350.760
  1400.00      0.1440E-14     354.260
  1410.00      0.1400E-14     357.620
  1420.00      0.1360E-14     360.860
  1430.00      0.1320E-14     364.000
  1440.00      0.1290E-14     367.000
  1450.00      0.1250E-14     369.910
  1460.00      0.1220E-14     372.720
  1470.00      0.1190E-14     375.420
  1480.00      0.1160E-14     378.050
  1490.00      0.1130E-14     380.590
  1500.00      0.1100E-14     383.040
