# Mean density at Ap = 15, F10.7 = 230
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3330E-05       5.370
   100.00      0.5170E-06       5.500
   110.00      0.8400E-07       7.200
   120.00      0.2100E-07       9.950
   130.00      0.7670E-08      14.280
   140.00      0.3810E-08      18.610
   150.00      0.2230E-08      22.780
   160.00      0.1430E-08      26.710
   170.00      0.9870E-09      30.390
   180.00      0.7100E-09      33.740
   190.00      0.5280E-09      36.770
   200.00      0.4020E-09      39.520
   210.00      0.3120E-09      42.020
   220.00      0.2460E-09      44.290
   230.00      0.1960E-09      46.380
   240.00      0.1580E-09      48.310
   250.00      0.1290E-09      50.110
   260.00      0.1050E-09      51.790
   270.00      0.8690E-10      53.380
   280.00      0.7210E-10      54.880
   290.00      0.6010E-10      56.300
   300.00      0.5030E-10      57.620
   310.00      0.4230E-10      58.970
   320.00      0.3570E-10      60.210
   330.00      0.3020E-10      61.400
   340.00      0.2570E-10      62.550
   350.00      0.2190E-10      63.650
   360.00      0.1870E-10      64.710
   370.00      0.1600E-10      65.730
   380.00      0.1380E-10      66.700
   390.00      0.1180E-10      67.640
   400.00      0.1020E-10      68.540
   410.00      0.8830E-11      69.410
   420.00      0.7650E-11      70.240
   430.00      0.6630E-11      71.040
   440.00      0.5760E-11      71.810
   450.00      0.5010E-11      72.540
   460.00      0.4370E-11      73.260
   470.00      0.3810E-11      73.940
   480.00      0.3330E-11      74.600
   490.00      0.2910E-11      75.240
   500.00      0.2550E-11      75.850
   510.00      0.2230E-11      76.450
   520.00      0.1960E-11      77.030
   530.00      0.1720E-11      77.590
   540.00      0.1510E-11      78.140
   550.00      0.1330E-11      78.680
   560.00      0.1170E-11      79.210
   570.00      0.1030E-11      79.740
   580.00      0.9110E-12      80.260
   590.00      0.8050E-12      80.770
   600.00      0.7110E-12      81.280
   610.00      0.6290E-12      81.800
   620.00      0.5560E-12      82.310
   630.00      0.4930E-12      82.830
   640.00      0.4370E-12      83.360
   650.00      0.3870E-12      83.900
   660.00      0.3440E-12      84.440
   670.00      0.3050E-12      85.000
   680.00      0.2710E-12      85.580
   690.00      0.2420E-12      86.170
   700.00      0.2150E-12      86.780
   710.00      0.1920E-12      87.410
   720.00      0.1710E-12      88.070
   730.00      0.1530E-12      88.760
   740.00      0.1360E-12      89.480
   750.00      0.1220E-12      90.230
   760.00      0.1090E-12      91.020
   770.00      0.9780E-13      91.850
   780.00      0.8770E-13      92.720
   790.00      0.7870E-13      93.650
   800.00      0.7070E-13      94.620
   810.00      0.6360E-13      95.650
   820.00      0.5730E-13      96.750
   830.00      0.5170E-13      97.910
   840.00      0.4670E-13      99.140
   850.00      0.4220E-13     100.450
   860.00      0.3820E-13     101.840
   870.00      0.3460E-13     103.320
   880.00      0.3140E-13     104.890
   890.00      0.2860E-13     106.550
   900.00      0.2600E-13     108.330
   910.00      0.2370E-13     110.210
   920.00      0.2170E-13     112.220
   930.00      0.1980E-13     114.340
   940.00      0.1820E-13     116.600
   950.00      0.1670E-13     119.000
   960.00      0.1530E-13     121.530
   970.00      0.1410E-13     124.220
   980.00      0.1300E-13     127.060
   990.00      0.1200E-13     130.060
  1000.00      0.1110E-13     133.230
  1010.00      0.1030E-13     136.570
  1020.00      0.9610E-14     140.080
  1030.00      0.8950E-14     143.760
  1040.00      0.8350E-14     147.630
  1050.00      0.7800E-14     151.680
  1060.00      0.7300E-14     155.910
  1070.00      0.6850E-14     160.310
  1080.00      0.6430E-14     164.900
  1090.00      0.6060E-14     169.660
  1100.00      0.5710E-14     174.590
  1110.00      0.5390E-14     179.690
  1120.00      0.5100E-14     184.950
  1130.00      0.4830E-14     190.350
  1140.00      0.4580E-14     195.890
  1150.00      0.4360E-14     201.560
  1160.00      0.4140E-14     207.350
  1170.00      0.3950E-14     213.250
  1180.00      0.3770E-14     219.220
  1190.00      0.3600E-14     225.280
  1200.00      0.3440E-14     231.400
  1210.00      0.3300E-14     237.550
  1220.00      0.3160E-14     243.740
  1230.00      0.3040E-14     249.940
  1240.00      0.2920E-14     256.130
  1250.00      0.2800E-14     262.300
  1260.00      0.2700E-14     268.440
  1270.00      0.2600E-14     274.530
  1280.00      0.2510E-14     280.550
  1290.00      0.2420E-14     286.500
  1300.00      0.2340E-14     292.360
  1310.00      0.2260E-14     298.130
  1320.00      0.2180E-14     303.790
  1330.00      0.2110E-14     309.330
  1340.00      0.2050E-14     314.750
  1350.00      0.1980E-14     320.050
  1360.00      0.1920E-14     325.210
  1370.00      0.1860E-14     330.240
  1380.00      0.1810E-14     335.130
  1390.00      0.1750E-14     339.870
  1400.00      0.1700E-14     344.480
  1410.00      0.1650E-14     348.950
  1420.00      0.1610E-14     353.270
  1430.00      0.1560E-14     357.470
  1440.00      0.1520E-14     361.520
  1450.00      0.1480E-14     365.440
  1460.00      0.1440E-14     369.240
  1470.00      0.1400E-14     372.900
  1480.00      0.1360E-14     376.440
  1490.00      0.1330E-14     379.880
  1500.00      0.1290E-14     383.180
