# Mean density at Ap = 10, F10.7 = 190
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3390E-05       5.420
   100.00      0.5360E-06       5.470
   110.00      0.8620E-07       6.970
   120.00      0.2050E-07       9.830
   130.00      0.7430E-08      13.980
   140.00      0.3630E-08      18.030
   150.00      0.2090E-08      21.880
   160.00      0.1320E-08      25.480
   170.00      0.8920E-09      28.820
   180.00      0.6300E-09      31.860
   190.00      0.4610E-09      34.620
   200.00      0.3450E-09      37.130
   210.00      0.2640E-09      39.410
   220.00      0.2050E-09      41.510
   230.00      0.1610E-09      43.440
   240.00      0.1280E-09      45.240
   250.00      0.1020E-09      46.920
   260.00      0.8270E-10      48.500
   270.00      0.6730E-10      49.990
   280.00      0.5510E-10      51.410
   290.00      0.4540E-10      52.760
   300.00      0.3750E-10      54.020
   310.00      0.3120E-10      55.280
   320.00      0.2600E-10      56.450
   330.00      0.2180E-10      57.570
   340.00      0.1830E-10      58.650
   350.00      0.1550E-10      59.670
   360.00      0.1310E-10      60.660
   370.00      0.1110E-10      61.590
   380.00      0.9420E-11      62.490
   390.00      0.8030E-11      63.340
   400.00      0.6860E-11      64.160
   410.00      0.5870E-11      64.930
   420.00      0.5030E-11      65.680
   430.00      0.4320E-11      66.390
   440.00      0.3710E-11      67.070
   450.00      0.3200E-11      67.710
   460.00      0.2760E-11      68.350
   470.00      0.2390E-11      68.950
   480.00      0.2060E-11      69.530
   490.00      0.1790E-11      70.090
   500.00      0.1550E-11      70.640
   510.00      0.1340E-11      71.170
   520.00      0.1170E-11      71.690
   530.00      0.1020E-11      72.210
   540.00      0.8850E-12      72.710
   550.00      0.7710E-12      73.220
   560.00      0.6730E-12      73.720
   570.00      0.5870E-12      74.220
   580.00      0.5130E-12      74.730
   590.00      0.4490E-12      75.240
   600.00      0.3930E-12      75.770
   610.00      0.3450E-12      76.300
   620.00      0.3020E-12      76.850
   630.00      0.2650E-12      77.420
   640.00      0.2330E-12      78.010
   650.00      0.2050E-12      78.620
   660.00      0.1810E-12      79.270
   670.00      0.1590E-12      79.940
   680.00      0.1410E-12      80.640
   690.00      0.1240E-12      81.390
   700.00      0.1100E-12      82.180
   710.00      0.9720E-13      83.020
   720.00      0.8620E-13      83.910
   730.00      0.7650E-13      84.860
   740.00      0.6800E-13      85.870
   750.00      0.6050E-13      86.950
   760.00      0.5390E-13      88.110
   770.00      0.4810E-13      89.340
   780.00      0.4310E-13      90.670
   790.00      0.3860E-13      92.090
   800.00      0.3460E-13      93.610
   810.00      0.3110E-13      95.240
   820.00      0.2800E-13      96.990
   830.00      0.2520E-13      98.870
   840.00      0.2280E-13     100.880
   850.00      0.2070E-13     103.030
   860.00      0.1880E-13     105.330
   870.00      0.1710E-13     107.800
   880.00      0.1550E-13     110.420
   890.00      0.1420E-13     113.220
   900.00      0.1300E-13     116.210
   910.00      0.1190E-13     119.380
   920.00      0.1100E-13     122.740
   930.00      0.1010E-13     126.300
   940.00      0.9340E-14     130.070
   950.00      0.8650E-14     134.040
   960.00      0.8030E-14     138.210
   970.00      0.7470E-14     142.600
   980.00      0.6960E-14     147.180
   990.00      0.6500E-14     151.970
  1000.00      0.6090E-14     156.950
  1010.00      0.5710E-14     162.130
  1020.00      0.5370E-14     167.470
  1030.00      0.5060E-14     172.990
  1040.00      0.4780E-14     178.660
  1050.00      0.4520E-14     184.460
  1060.00      0.4280E-14     190.390
  1070.00      0.4060E-14     196.420
  1080.00      0.3860E-14     202.540
  1090.00      0.3670E-14     208.720
  1100.00      0.3500E-14     214.940
  1110.00      0.3340E-14     221.190
  1120.00      0.3190E-14     227.430
  1130.00      0.3060E-14     233.670
  1140.00      0.2930E-14     239.860
  1150.00      0.2810E-14     245.990
  1160.00      0.2700E-14     252.050
  1170.00      0.2590E-14     258.020
  1180.00      0.2490E-14     263.880
  1190.00      0.2400E-14     269.630
  1200.00      0.2310E-14     275.250
  1210.00      0.2230E-14     280.720
  1220.00      0.2150E-14     286.050
  1230.00      0.2080E-14     291.220
  1240.00      0.2010E-14     296.240
  1250.00      0.1940E-14     301.090
  1260.00      0.1880E-14     305.780
  1270.00      0.1820E-14     310.310
  1280.00      0.1760E-14     314.670
  1290.00      0.1700E-14     318.880
  1300.00      0.1650E-14     322.930
  1310.00      0.1600E-14     326.820
  1320.00      0.1550E-14     330.560
  1330.00      0.1510E-14     334.170
  1340.00      0.1460E-14     337.630
  1350.00      0.1420E-14     340.950
  1360.00      0.1380E-14     344.150
  1370.00      0.1340E-14     347.230
  1380.00      0.1300E-14     350.200
  1390.00      0.1260E-14     353.040
  1400.00      0.1230E-14     355.800
  1410.00      0.1200E-14     358.450
  1420.00      0.1160E-14     361.010
  1430.00      0.1130E-14     363.490
  1440.00      0.1100E-14     365.870
  1450.00      0.1070E-14     368.190
  1460.00      0.1040E-14     370.440
  1470.00      0.1010E-14     372.610
  1480.00      0.9870E-15     374.730
  1490.00      0.9610E-15     376.790
  1500.00      0.9360E-15     378.800
