# Mean density at Ap = 15, F10.7 = 170
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3390E-05       5.380
   100.00      0.5280E-06       5.520
   110.00      0.8630E-07       6.920
   120.00      0.2030E-07       9.880
   130.00      0.7390E-08      13.940
   140.00      0.3610E-08      17.830
   150.00      0.2060E-08      21.510
   160.00      0.1290E-08      24.930
   170.00      0.8650E-09      28.100
   180.00      0.6060E-09      30.980
   190.00      0.4390E-09      33.600
   200.00      0.3260E-09      35.990
   210.00      0.2470E-09      38.170
   220.00      0.1900E-09      40.180
   230.00      0.1480E-09      42.040
   240.00      0.1170E-09      43.780
   250.00      0.9290E-10      45.400
   260.00      0.7460E-10      46.940
   270.00      0.6030E-10      48.400
   280.00      0.4900E-10      49.790
   290.00      0.4010E-10      51.110
   300.00      0.3300E-10      52.360
   310.00      0.2720E-10      53.600
   320.00      0.2260E-10      54.760
   330.00      0.1880E-10      55.870
   340.00      0.1570E-10      56.940
   350.00      0.1320E-10      57.950
   360.00      0.1110E-10      58.930
   370.00      0.9380E-11      59.860
   380.00      0.7940E-11      60.750
   390.00      0.6730E-11      61.600
   400.00      0.5720E-11      62.410
   410.00      0.4880E-11      63.180
   420.00      0.4160E-11      63.920
   430.00      0.3560E-11      64.630
   440.00      0.3050E-11      65.300
   450.00      0.2620E-11      65.940
   460.00      0.2250E-11      66.580
   470.00      0.1930E-11      67.180
   480.00      0.1670E-11      67.760
   490.00      0.1440E-11      68.320
   500.00      0.1240E-11      68.870
   510.00      0.1070E-11      69.410
   520.00      0.9300E-12      69.940
   530.00      0.8060E-12      70.460
   540.00      0.7000E-12      70.970
   550.00      0.6080E-12      71.490
   560.00      0.5280E-12      72.010
   570.00      0.4600E-12      72.530
   580.00      0.4010E-12      73.060
   590.00      0.3490E-12      73.610
   600.00      0.3050E-12      74.160
   610.00      0.2670E-12      74.730
   620.00      0.2330E-12      75.330
   630.00      0.2040E-12      75.940
   640.00      0.1790E-12      76.590
   650.00      0.1570E-12      77.260
   660.00      0.1380E-12      77.970
   670.00      0.1210E-12      78.720
   680.00      0.1070E-12      79.520
   690.00      0.9430E-13      80.360
   700.00      0.8330E-13      81.260
   710.00      0.7360E-13      82.220
   720.00      0.6520E-13      83.240
   730.00      0.5780E-13      84.340
   740.00      0.5130E-13      85.510
   750.00      0.4570E-13      86.770
   760.00      0.4070E-13      88.130
   770.00      0.3630E-13      89.580
   780.00      0.3250E-13      91.140
   790.00      0.2910E-13      92.820
   800.00      0.2610E-13      94.630
   810.00      0.2350E-13      96.560
   820.00      0.2120E-13      98.640
   830.00      0.1920E-13     100.870
   840.00      0.1740E-13     103.260
   850.00      0.1580E-13     105.820
   860.00      0.1430E-13     108.560
   870.00      0.1310E-13     111.470
   880.00      0.1200E-13     114.580
   890.00      0.1100E-13     117.890
   900.00      0.1010E-13     121.410
   910.00      0.9270E-14     125.130
   920.00      0.8550E-14     129.060
   930.00      0.7920E-14     133.210
   940.00      0.7340E-14     137.560
   950.00      0.6830E-14     142.130
   960.00      0.6370E-14     146.910
   970.00      0.5950E-14     151.890
   980.00      0.5570E-14     157.050
   990.00      0.5220E-14     162.410
  1000.00      0.4910E-14     167.930
  1010.00      0.4630E-14     173.610
  1020.00      0.4370E-14     179.430
  1030.00      0.4130E-14     185.370
  1040.00      0.3920E-14     191.410
  1050.00      0.3720E-14     197.530
  1060.00      0.3530E-14     203.710
  1070.00      0.3360E-14     209.930
  1080.00      0.3210E-14     216.170
  1090.00      0.3060E-14     222.400
  1100.00      0.2930E-14     228.600
  1110.00      0.2800E-14     234.750
  1120.00      0.2680E-14     240.840
  1130.00      0.2580E-14     246.840
  1140.00      0.2470E-14     252.730
  1150.00      0.2380E-14     258.510
  1160.00      0.2290E-14     264.160
  1170.00      0.2200E-14     269.670
  1180.00      0.2120E-14     275.030
  1190.00      0.2050E-14     280.230
  1200.00      0.1970E-14     285.280
  1210.00      0.1910E-14     290.150
  1220.00      0.1840E-14     294.860
  1230.00      0.1780E-14     299.400
  1240.00      0.1720E-14     303.770
  1250.00      0.1670E-14     307.980
  1260.00      0.1610E-14     312.030
  1270.00      0.1560E-14     315.920
  1280.00      0.1510E-14     319.650
  1290.00      0.1470E-14     323.240
  1300.00      0.1420E-14     326.690
  1310.00      0.1380E-14     330.000
  1320.00      0.1340E-14     333.180
  1330.00      0.1300E-14     336.240
  1340.00      0.1260E-14     339.180
  1350.00      0.1220E-14     342.010
  1360.00      0.1190E-14     344.740
  1370.00      0.1150E-14     347.370
  1380.00      0.1120E-14     349.910
  1390.00      0.1090E-14     352.360
  1400.00      0.1060E-14     354.740
  1410.00      0.1030E-14     357.030
  1420.00      0.1000E-14     359.260
  1430.00      0.9740E-15     361.430
  1440.00      0.9480E-15     363.530
  1450.00      0.9220E-15     365.580
  1460.00      0.8970E-15     367.590
  1470.00      0.8730E-15     369.530
  1480.00      0.8500E-15     371.450
  1490.00      0.8270E-15     373.320
  1500.00      0.8050E-15     375.160
